Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,Pos2,stats_id,value_id
22,Martin Agirregabiria,ESP,1,Alavés,La Liga,26.0,24,17,1616,0.0,0.28,0.0,0.0,0.0,19.7,0.0,0.0,0.0,31.3,71.4,83.0,76.6,43.0,0.06,1.06,0.61,43.8,0.39,4.39,0.94,2.17,0.06,2.06,28.1,1.72,1.44,0.11,1.22,0.67,0.44,1.22,51.2,12.8,1.83,0.17,0.0,1.39,3.72,2.78,16.5,26.6,13.3,0.78,1.06,73.7,25.9,102.2,61.1,0.61,26.1,86.2,0.22,0.0,0.0,1.67,1.5,0.06,2.17,0.06,0.0,1.89,2.17,46.6,,22,22
23,Julen Agirrezabala,ESP,4,Athletic Club,La Liga,21.0,4,4,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,74.4,100.0,100.0,43.2,0.0,0.0,0.0,20.5,2.0,0.75,0.25,0.0,0.0,7.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,23.8,0.0,0.0,0.0,0.0,0.0,9.5,39.8,18.8,0.0,6.25,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23,23
24,Lucien Agoume,FRA,2,Brest,Ligue 1,20.0,27,21,1868,0.0,0.77,0.05,6.3,0.0,10.8,0.0,0.0,0.0,39.8,84.4,87.8,88.4,79.8,0.0,0.53,0.0,47.2,1.3,7.4,1.49,0.19,0.05,5.82,38.2,1.49,1.49,0.05,1.2,1.25,0.29,0.77,55.2,18.3,1.83,0.53,0.0,2.69,5.43,2.84,17.9,32.9,10.1,0.96,1.39,69.0,36.4,173.7,84.4,1.01,35.7,93.7,0.29,0.0,0.0,1.68,0.91,0.0,0.19,0.05,0.0,1.49,1.49,50.0,,24,24
25,Kevin Agudelo,COL,2,Spezia,Serie A,23.0,23,12,1237,0.22,1.61,0.8,50.0,0.14,16.6,0.0,0.0,0.0,20.7,73.8,82.4,80.4,36.0,0.07,0.95,0.22,28.1,0.07,8.83,0.51,0.95,0.29,23.4,2.12,1.46,2.77,0.22,1.02,1.46,0.51,0.58,42.1,29.2,1.97,0.0,0.0,1.31,4.31,0.8,6.5,21.9,20.8,2.04,3.72,54.9,33.1,194.1,114.3,3.87,28.1,77.5,0.15,0.07,0.0,2.85,1.9,0.0,0.95,0.0,0.0,1.17,1.46,44.4,FW,25,25
26,Nayef Aguerd,MAR,1,Rennes,Ligue 1,26.0,31,31,2735,0.07,0.82,0.23,28.0,0.08,8.6,0.0,0.0,0.0,64.3,90.0,93.4,95.5,78.4,0.07,0.07,0.0,71.5,2.04,6.12,3.26,0.07,0.0,60.6,7.3,1.22,0.39,0.13,0.56,0.43,0.0,0.23,38.9,6.25,0.99,0.43,0.0,1.78,2.76,9.51,41.3,42.7,1.88,0.16,0.2,83.3,57.1,279.3,149.8,0.2,61.3,98.6,0.1,0.03,0.0,0.59,0.53,0.03,0.07,0.07,0.0,3.55,1.51,70.1,,26,26
27,Sergio Agüero,ARG,3,Barcelona,La Liga,33.0,4,2,151,0.59,3.53,0.59,16.7,0.17,12.1,0.0,0.0,0.0,18.2,72.1,72.0,66.7,100.0,0.0,0.0,0.0,25.3,0.0,8.82,0.0,2.35,0.0,2.94,18.2,0.0,1.76,0.0,0.0,0.0,0.59,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.59,0.0,0.59,16.5,19.4,0.59,0.59,100.0,22.4,139.4,64.7,1.18,31.2,67.9,0.0,0.0,0.0,0.59,1.18,0.59,2.35,0.0,0.0,2.35,1.18,66.7,,27,27
28,Ruben Aguilar,FRA,1,Monaco,Ligue 1,29.0,28,22,2140,0.0,0.42,0.08,20.0,0.0,22.2,0.0,0.0,0.0,60.4,83.8,92.3,87.0,54.9,0.08,1.43,0.25,72.1,1.51,6.85,1.43,2.18,0.04,1.13,57.5,2.1,1.09,0.13,2.02,1.39,0.42,1.89,61.6,17.5,1.64,0.29,0.0,2.48,6.3,3.74,22.9,44.6,21.5,0.42,0.71,58.8,48.8,232.9,141.9,0.38,50.5,92.8,0.17,0.0,0.0,1.34,1.26,0.04,2.18,0.0,0.04,1.64,1.68,49.4,,28,28
29,Álvaro Aguirre,ESP,3,Rayo Vallecano,La Liga,22.0,1,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,20.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29,29
30,Naouirou Ahamada,FRA,2,Stuttgart,Bundesliga,20.0,3,0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,88.2,86.7,90.0,85.7,0.0,0.0,0.0,48.6,1.43,10.0,2.86,0.0,0.0,7.14,40.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,2.86,0.0,0.0,0.0,0.0,0.0,8.57,40.0,10.0,0.0,0.0,0.0,48.6,232.9,104.3,1.43,45.7,91.4,0.0,0.0,0.0,2.86,1.43,0.0,0.0,0.0,0.0,1.43,4.29,25.0,,30,30
31,Anel Ahmedhodzic,BIH,1,Bordeaux,Ligue 1,23.0,15,15,1350,0.0,0.47,0.27,57.1,0.0,14.8,0.0,0.0,0.0,51.3,88.6,94.7,91.5,74.3,0.07,0.4,0.13,57.9,1.47,6.73,1.87,0.47,0.0,8.87,44.3,0.73,1.33,0.07,1.8,0.47,0.07,0.87,48.1,9.93,1.27,0.53,0.0,2.27,4.6,8.8,33.9,34.5,4.53,0.13,0.33,40.0,44.3,275.8,163.1,0.47,45.1,98.5,0.4,0.0,0.0,1.4,0.73,0.0,0.47,0.0,0.0,1.67,0.67,71.4,,31,31
32,Jean-Eudes Aholou,CIV,2,Strasbourg,Ligue 1,28.0,25,11,1004,0.09,1.52,0.18,11.8,0.06,20.2,0.0,0.0,0.0,31.1,84.7,91.6,87.6,60.0,0.09,0.71,0.09,36.7,0.89,5.18,0.36,0.36,0.0,25.7,8.13,0.98,1.96,0.27,0.45,0.98,0.36,0.71,57.1,17.8,0.71,0.09,0.0,2.05,3.84,1.16,8.21,30.0,13.1,1.07,1.79,60.0,31.3,152.3,75.9,1.34,30.4,87.0,0.18,0.0,0.0,2.05,1.7,0.0,0.36,0.0,0.0,1.25,0.71,63.6,,32,32
33,Joseph Aidoo,GHA,1,Celta Vigo,La Liga,26.0,32,30,2637,0.0,0.2,0.03,16.7,0.0,12.8,0.0,0.0,0.0,43.1,83.0,88.1,89.5,69.9,0.0,0.24,0.03,52.0,0.55,5.56,1.23,0.07,0.0,8.57,38.1,1.37,0.44,0.07,1.57,0.27,0.14,0.75,66.7,10.9,1.67,0.58,0.0,1.88,3.86,7.88,33.4,31.3,1.64,0.27,0.34,80.0,40.5,240.8,135.0,0.34,39.9,98.9,0.03,0.0,0.0,0.38,0.65,0.03,0.07,0.0,0.03,2.63,1.74,60.2,,33,33
34,Ola Aina,NGA,1,Torino,Serie A,25.0,21,17,1437,0.0,0.63,0.25,40.0,0.0,22.1,0.0,0.0,0.0,34.1,72.1,86.6,77.5,45.9,0.0,1.31,0.31,47.3,0.56,5.31,0.56,1.88,0.0,9.44,26.3,1.44,2.19,0.0,0.94,0.81,0.25,1.06,68.0,10.5,1.56,0.19,0.0,2.06,4.06,3.19,15.5,29.4,20.4,1.0,1.94,51.6,33.8,190.8,114.6,1.13,34.6,86.0,0.25,0.0,0.0,1.25,1.94,0.06,1.88,0.0,0.0,1.13,1.44,43.9,,34,34
35,Rayan Aït Nouri,FRA,1,Wolves,Premier League,20.0,23,20,1828,0.05,0.64,0.2,30.8,0.08,16.9,0.0,0.0,0.0,37.1,75.2,91.7,78.7,43.7,0.1,0.74,0.44,49.4,0.79,6.65,1.77,2.76,1.43,33.1,5.32,1.63,2.17,0.3,2.66,0.69,0.39,1.38,62.2,19.8,1.67,0.15,0.0,1.87,5.62,3.15,22.7,24.2,19.6,1.97,3.6,54.8,38.5,182.5,113.3,1.58,35.9,88.9,0.2,0.0,0.0,0.99,1.13,0.15,2.76,0.0,0.0,0.99,0.94,51.3,,35,35
36,Kristoffer Ajer,NOR,1,Brentford,Premier League,24.0,24,23,1995,0.05,0.32,0.05,14.3,0.14,9.1,0.0,0.0,0.0,28.3,72.1,82.8,79.7,48.4,0.14,0.45,0.05,39.3,0.36,6.22,0.68,0.54,0.0,1.89,26.0,1.49,1.26,0.27,1.13,0.54,0.14,0.9,55.6,9.28,1.62,0.59,0.05,2.21,4.01,5.27,20.8,24.1,8.29,0.5,0.77,64.7,25.3,152.5,92.2,0.5,24.1,89.7,0.23,0.0,0.0,0.81,0.86,0.0,0.54,0.0,0.0,2.84,1.71,62.4,,36,36
37,Ludovic Ajorque,REU,3,Strasbourg,Ligue 1,28.0,36,31,2738,0.39,1.94,0.79,40.7,0.15,13.1,0.0,0.1,0.1,22.0,73.7,79.7,73.2,67.5,0.26,0.89,0.16,29.9,0.0,9.61,0.56,0.59,0.0,17.1,5.56,1.58,2.47,0.3,0.13,0.76,0.63,0.26,20.0,17.1,0.79,0.16,0.0,0.49,2.01,1.22,3.75,21.9,17.3,0.49,1.02,48.4,21.1,72.2,31.1,1.48,32.2,61.9,0.16,0.03,0.0,1.32,1.22,0.46,0.59,0.0,0.03,5.07,3.95,56.2,,37,37
38,Manuel Akanji,SUI,1,Dortmund,Bundesliga,26.0,26,25,2261,0.04,0.56,0.12,21.4,0.07,10.4,0.04,0.0,0.0,71.8,90.7,92.4,95.9,79.6,0.0,0.12,0.0,79.1,2.31,7.93,2.75,0.08,0.0,15.7,59.3,1.04,0.44,0.0,1.16,0.64,0.2,0.88,61.1,9.8,1.51,0.72,0.0,1.87,3.86,10.2,43.3,47.6,2.83,0.28,0.28,100.0,60.8,355.1,184.1,0.16,66.3,98.8,0.12,0.0,0.0,0.92,1.04,0.04,0.08,0.0,0.04,2.55,1.55,62.1,,38,38
39,Carlos Akapo,EQG,1,Cádiz,La Liga,29.0,25,21,1844,0.0,0.49,0.05,10.0,0.0,19.2,0.0,0.0,0.0,30.7,74.2,85.2,80.2,48.6,0.0,0.78,0.44,41.4,0.88,5.76,0.98,1.56,0.0,1.66,28.0,1.22,1.17,0.05,1.66,0.68,0.24,0.59,37.5,14.2,1.71,0.39,0.0,3.22,5.8,4.44,20.0,24.1,12.3,0.59,1.02,57.1,26.3,156.6,87.2,0.59,23.1,87.8,0.2,0.0,0.0,1.27,1.37,0.1,1.56,0.05,0.0,2.1,1.76,54.4,,39,39
40,Marley Aké,FRA,2,Juventus,Serie A,21.0,4,0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,76.5,75.0,71.4,100.0,0.0,1.11,1.11,18.9,0.0,4.44,1.11,1.11,0.0,2.22,15.6,3.33,1.11,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,2.22,2.22,0.0,2.22,15.6,11.1,0.0,1.11,0.0,20.0,118.9,68.9,2.22,20.0,78.3,1.11,0.0,0.0,8.89,2.22,0.0,1.11,0.0,0.0,1.11,0.0,100.0,FW,40,40
41,Nathan Aké,NED,1,Manchester City,Premier League,27.0,14,10,923,0.19,0.49,0.19,40.0,0.4,5.8,0.0,0.0,0.0,75.7,91.2,94.3,92.2,81.6,0.0,0.29,0.0,83.0,1.55,6.89,0.49,0.0,0.0,60.3,15.0,0.68,0.29,0.0,0.58,0.78,0.1,0.39,57.1,6.8,1.17,0.49,0.0,1.75,3.2,6.5,34.1,53.0,11.2,0.0,0.19,0.0,66.0,345.6,216.1,0.1,70.3,96.0,0.0,0.0,0.0,0.78,0.49,0.0,0.0,0.0,0.0,3.98,0.78,83.7,,41,41
42,Ilias Akhomach,ESP,3,Barcelona,La Liga,18.0,2,2,124,0.0,2.86,1.43,50.0,0.0,21.4,0.0,0.0,0.0,32.1,84.9,97.2,80.0,40.0,0.0,3.57,0.71,37.9,0.0,6.43,0.71,3.57,0.0,35.0,2.14,0.71,5.0,0.0,0.0,0.71,0.71,0.0,0.0,5.0,0.71,0.0,0.0,0.0,1.43,0.0,5.0,14.3,35.7,0.71,2.14,33.3,45.0,195.7,120.7,2.14,40.0,88.9,0.0,0.0,0.0,2.86,3.57,0.0,3.57,0.0,0.0,0.0,1.43,0.0,,42,42
43,Maghnes Akliouche,FRA,2,Monaco,Ligue 1,20.0,7,0,54,0.0,3.33,1.67,50.0,0.0,13.5,0.0,0.0,0.0,33.3,90.9,100.0,83.3,50.0,0.0,5.0,0.0,36.7,0.0,8.33,0.0,0.0,0.0,26.7,10.0,0.0,1.67,0.0,1.67,1.67,0.0,0.0,0.0,35.0,3.33,0.0,0.0,0.0,3.33,0.0,6.67,23.3,36.7,1.67,6.67,25.0,48.3,245.0,120.0,0.0,46.7,75.7,1.67,0.0,0.0,5.0,1.67,1.67,0.0,0.0,0.0,1.67,3.33,33.3,FW,43,43
