,Player Name,Player Age,Value,Team,Nationality,Position
163,Lucas Moura,30,€9.00m, Tottenham Hotspur ,Brazil,Right Winger
164,Harry Kane,29,€90.00m, Tottenham Hotspur ,England,Centre-Forward
165,Richarlison,25,€55.00m, Tottenham Hotspur ,Brazil,Centre-Forward
166,Nick Pope,30,€18.00m, Newcastle United ,England,Goalkeeper
167,Martin Dúbravka,34,€2.50m, Newcastle United ,Slovakia,Goalkeeper
168,Loris Karius,29,€1.50m, Newcastle United ,Germany,Goalkeeper
169,Mark Gillespie,31,€300k, Newcastle United ,England,Goalkeeper
170,Sven Botman,23,€45.00m, Newcastle United ,Netherlands,Centre-Back
171,Dan Burn,30,€12.00m, Newcastle United ,England,Centre-Back
172,Fabian Schär,31,€10.00m, Newcastle United ,Switzerland,Centre-Back
173,Jamaal Lascelles,29,€7.00m, Newcastle United ,England,Centre-Back
174,Matt Targett,27,€15.00m, Newcastle United ,England,Left-Back
175,Jamal Lewis,25,€8.00m, Newcastle United ,Northern Ireland,Left-Back
176,Paul Dummett,31,€1.20m, Newcastle United ,Wales,Left-Back
177,Kieran Trippier,32,€13.00m, Newcastle United ,England,Right-Back
178,Emil Krafth,28,€4.00m, Newcastle United ,Sweden,Right-Back
179,Javier Manquillo,28,€3.00m, Newcastle United ,Spain,Right-Back
180,Harrison Ashby,21,€1.00m, Newcastle United ,Scotland,Right-Back
181,Bruno Guimarães,25,€60.00m, Newcastle United ,Brazil,Defensive Midfield
182,Joe Willock,23,€30.00m, Newcastle United ,England,Central Midfield
183,Sean Longstaff,25,€22.00m, Newcastle United ,England,Central Midfield
184,Matty Longstaff,23,€1.50m, Newcastle United ,England,Central Midfield
185,Matt Ritchie,33,€1.80m, Newcastle United ,Scotland,Right Midfield
186,Joelinton,26,€38.00m, Newcastle United ,Brazil,Attacking Midfield
187,Elliot Anderson,20,€3.50m, Newcastle United ,Scotland,Attacking Midfield
188,Anthony Gordon,22,€40.00m, Newcastle United ,England,Left Winger
189,Allan Saint-Maximin,26,€35.00m, Newcastle United ,France,Left Winger
190,Ryan Fraser,29,€8.00m, Newcastle United ,Scotland,Left Winger
191,Miguel Almirón,29,€35.00m, Newcastle United ,Paraguay,Right Winger
192,Jacob Murphy,28,€10.00m, Newcastle United ,England,Right Winger
193,Alexander Isak,23,€50.00m, Newcastle United ,Sweden,Centre-Forward
194,Callum Wilson,31,€18.00m, Newcastle United ,England,Centre-Forward
195,Alphonse Areola,30,€8.00m, West Ham United ,France,Goalkeeper
196,Lukasz Fabianski,37,€1.00m, West Ham United ,Poland,Goalkeeper
197,Nayef Aguerd,27,€32.00m, West Ham United ,Morocco,Centre-Back
198,Kurt Zouma,28,€28.00m, West Ham United ,France,Centre-Back
199,Thilo Kehrer,26,€18.00m, West Ham United ,Germany,Centre-Back
200,Angelo Ogbonna,34,€1.00m, West Ham United ,Italy,Centre-Back
201,Emerson,28,€12.00m, West Ham United ,Italy,Left-Back
202,Aaron Cresswell,33,€2.50m, West Ham United ,England,Left-Back
203,Ben Johnson,23,€12.00m, West Ham United ,England,Right-Back
204,Vladimir Coufal,30,€9.00m, West Ham United ,Czech Republic,Right-Back
205,Declan Rice,24,€80.00m, West Ham United ,England,Defensive Midfield
206,Tomas Soucek,28,€35.00m, West Ham United ,Czech Republic,Defensive Midfield
207,Flynn Downes,24,€8.00m, West Ham United ,England,Central Midfield
208,Lucas Paquetá,25,€45.00m, West Ham United ,Brazil,Attacking Midfield
209,Pablo Fornals,27,€25.00m, West Ham United ,Spain,Attacking Midfield
210,Manuel Lanzini,30,€8.00m, West Ham United ,Argentina,Attacking Midfield
211,Saïd Benrahma,27,€22.00m, West Ham United ,Algeria,Left Winger
212,Maxwel Cornet,26,€15.00m, West Ham United ,Cote d'Ivoire,Left Winger
213,Jarrod Bowen,26,€38.00m, West Ham United ,England,Right Winger
214,Gianluca Scamacca,24,€27.00m, West Ham United ,Italy,Centre-Forward
215,Danny Ings,30,€16.00m, West Ham United ,England,Centre-Forward
216,Michail Antonio,33,€9.00m, West Ham United ,Jamaica,Centre-Forward
217,Danny Ward,29,€8.00m, Leicester City ,Wales,Goalkeeper
218,Daniel Iversen,25,€2.00m, Leicester City ,Denmark,Goalkeeper
219,Alex Smithies,33,€600k, Leicester City ,England,Goalkeeper
220,Wout Faes,25,€20.00m, Leicester City ,Belgium,Centre-Back
221,Caglar Söyüncü,26,€15.00m, Leicester City ,Turkey,Centre-Back
222,Harry Souttar,24,€15.00m, Leicester City ,Australia,Centre-Back
223,Daniel Amartey,28,€15.00m, Leicester City ,Ghana,Centre-Back
224,Jannik Vestergaard,30,€5.00m, Leicester City ,Denmark,Centre-Back
225,Jonny Evans,35,€3.00m, Leicester City ,Northern Ireland,Centre-Back
226,Victor Kristiansen,20,€12.00m, Leicester City ,Denmark,Left-Back
227,Luke Thomas,21,€10.00m, Leicester City ,England,Left-Back
228,Ryan Bertrand,33,€1.00m, Leicester City ,England,Left-Back
229,Timothy Castagne,27,€28.00m, Leicester City ,Belgium,Right-Back
230,James Justin,25,€25.00m, Leicester City ,England,Right-Back
231,Ricardo Pereira,29,€12.00m, Leicester City ,Portugal,Right-Back
232,Wilfred Ndidi,26,€32.00m, Leicester City ,Nigeria,Defensive Midfield
233,Boubakary Soumaré,24,€20.00m, Leicester City ,France,Defensive Midfield
234,Nampalys Mendy,30,€3.50m, Leicester City ,Senegal,Defensive Midfield
235,Youri Tielemans,25,€30.00m, Leicester City ,Belgium,Central Midfield
236,Kiernan Dewsbury-Hall,24,€25.00m, Leicester City ,England,Central Midfield
237,Dennis Praet,28,€8.00m, Leicester City ,Belgium,Central Midfield
238,James Maddison,26,€55.00m, Leicester City ,England,Attacking Midfield
239,Harvey Barnes,25,€32.00m, Leicester City ,England,Left Winger
240,Tetê,23,€25.00m, Leicester City ,Brazil,Right Winger
241,Patson Daka,24,€20.00m, Leicester City ,Zambia,Centre-Forward
242,Kelechi Iheanacho,26,€17.00m, Leicester City ,Nigeria,Centre-Forward
243,Jamie Vardy,36,€4.00m, Leicester City ,England,Centre-Forward
244,Emiliano Martínez,30,€28.00m, Aston Villa ,Argentina,Goalkeeper
245,Robin Olsen,33,€2.00m, Aston Villa ,Sweden,Goalkeeper
246,Jed Steer,30,€600k, Aston Villa ,England,Goalkeeper
247,Viljami Sinisalo,21,€400k, Aston Villa ,Finland,Goalkeeper
248,Diego Carlos,30,€30.00m, Aston Villa ,Brazil,Centre-Back
249,Tyrone Mings,30,€25.00m, Aston Villa ,England,Centre-Back
250,Ezri Konsa,25,€22.00m, Aston Villa ,England,Centre-Back
251,Calum Chambers,28,€8.00m, Aston Villa ,England,Centre-Back
252,Álex Moreno,29,€20.00m, Aston Villa ,Spain,Left-Back
253,Lucas Digne,29,€17.00m, Aston Villa ,France,Left-Back
254,Matty Cash,25,€22.00m, Aston Villa ,Poland,Right-Back
255,Ashley Young,37,€1.00m, Aston Villa ,England,Right-Back
256,Boubacar Kamara,23,€25.00m, Aston Villa ,France,Defensive Midfield
257,Leander Dendoncker,27,€17.00m, Aston Villa ,Belgium,Defensive Midfield
258,Douglas Luiz,24,€35.00m, Aston Villa ,Brazil,Central Midfield
259,Jacob Ramsey,21,€32.00m, Aston Villa ,England,Central Midfield
260,John McGinn,28,€27.00m, Aston Villa ,Scotland,Central Midfield
261,Leon Bailey,25,€25.00m, Aston Villa ,Jamaica,Left Winger
262,Philippe Coutinho,30,€14.00m, Aston Villa ,Brazil,Left Winger
263,Emiliano Buendía,26,€28.00m, Aston Villa ,Argentina,Right Winger
264,Bertrand Traoré,27,€14.00m, Aston Villa ,Burkina Faso,Right Winger
265,Ollie Watkins,27,€32.00m, Aston Villa ,England,Centre-Forward
266,Jhon Durán,19,€12.00m, Aston Villa ,Colombia,Centre-Forward
267,José Sá,30,€18.00m, Wolverhampton Wanderers ,Portugal,Goalkeeper
268,Daniel Bentley,29,€1.80m, Wolverhampton Wanderers ,England,Goalkeeper
269,Louie Moulden,21,€200k, Wolverhampton Wanderers ,England,Goalkeeper
270,Max Kilman,25,€25.00m, Wolverhampton Wanderers ,England,Centre-Back
271,Nathan Collins,21,€22.00m, Wolverhampton Wanderers ,Ireland,Centre-Back
272,Craig Dawson,32,€2.50m, Wolverhampton Wanderers ,England,Centre-Back
273,Toti,24,€2.50m, Wolverhampton Wanderers ,Portugal,Centre-Back
274,Rayan Aït-Nouri,21,€22.00m, Wolverhampton Wanderers ,Algeria,Left-Back
275,Jonny Otto,29,€17.00m, Wolverhampton Wanderers ,Spain,Left-Back
276,Hugo Bueno,20,€200k, Wolverhampton Wanderers ,Spain,Left-Back
277,Nélson Semedo,29,€15.00m, Wolverhampton Wanderers ,Portugal,Right-Back
278,Rúben Neves,26,€40.00m, Wolverhampton Wanderers ,Portugal,Defensive Midfield
279,Mario Lemina,29,€10.00m, Wolverhampton Wanderers ,Gabon,Defensive Midfield
280,Boubacar Traoré,21,€5.00m, Wolverhampton Wanderers ,Mali,Defensive Midfield
281,Joe Hodge,20,€500k, Wolverhampton Wanderers ,Ireland,Defensive Midfield
282,Matheus Nunes,24,€45.00m, Wolverhampton Wanderers ,Portugal,Central Midfield
283,João Gomes,22,€15.00m, Wolverhampton Wanderers ,Brazil,Central Midfield
284,João Moutinho,36,€2.00m, Wolverhampton Wanderers ,Portugal,Central Midfield
285,Daniel Podence,27,€20.00m, Wolverhampton Wanderers ,Portugal,Left Winger
286,Chiquinho,23,€2.50m, Wolverhampton Wanderers ,Portugal,Left Winger
287,Pedro Neto,23,€32.00m, Wolverhampton Wanderers ,Portugal,Right Winger
288,Pablo Sarabia,30,€16.00m, Wolverhampton Wanderers ,Spain,Right Winger
289,Adama Traoré,27,€12.00m, Wolverhampton Wanderers ,Spain,Right Winger
290,Matheus Cunha,23,€30.00m, Wolverhampton Wanderers ,Brazil,Centre-Forward
291,Sasa Kalajdzic,25,€18.00m, Wolverhampton Wanderers ,Austria,Centre-Forward
292,Hee-chan Hwang,27,€12.00m, Wolverhampton Wanderers ,"Korea, South",Centre-Forward
293,Raúl Jiménez,31,€9.00m, Wolverhampton Wanderers ,Mexico,Centre-Forward
294,Diego Costa,34,€3.50m, Wolverhampton Wanderers ,Spain,Centre-Forward
295,Gavin Bazunu,21,€18.00m, Southampton FC ,Ireland,Goalkeeper
296,Alex McCarthy,33,€2.00m, Southampton FC ,England,Goalkeeper
297,Willy Caballero,41,€200k, Southampton FC ,Argentina,Goalkeeper
298,Armel Bella-Kotchap,21,€20.00m, Southampton FC ,Germany,Centre-Back
299,Mohammed Salisu,23,€18.00m, Southampton FC ,Ghana,Centre-Back
300,Duje Caleta-Car,26,€14.00m, Southampton FC ,Croatia,Centre-Back
301,Jan Bednarek,27,€14.00m, Southampton FC ,Poland,Centre-Back
302,Lyanco,26,€4.00m, Southampton FC ,Brazil,Centre-Back
303,Romain Perraud,25,€12.00m, Southampton FC ,France,Left-Back
304,Juan Larios,19,€7.00m, Southampton FC ,Spain,Left-Back
305,Kyle Walker-Peters,26,€25.00m, Southampton FC ,England,Right-Back
306,Tino Livramento,20,€25.00m, Southampton FC ,England,Right-Back
307,James Bree,25,€3.00m, Southampton FC ,England,Right-Back
308,Roméo Lavia,19,€25.00m, Southampton FC ,Belgium,Defensive Midfield
309,Ibrahima Diallo,24,€8.00m, Southampton FC ,France,Defensive Midfield
310,James Ward-Prowse,28,€38.00m, Southampton FC ,England,Central Midfield
311,Carlos Alcaraz,20,€12.00m, Southampton FC ,Argentina,Central Midfield
312,Stuart Armstrong,31,€6.00m, Southampton FC ,Scotland,Central Midfield
313,Ainsley Maitland-Niles,25,€8.00m, Southampton FC ,England,Right Midfield
314,Joe Aribo,26,€15.00m, Southampton FC ,Nigeria,Attacking Midfield
315,Kamaldeen Sulemana,21,€22.00m, Southampton FC ,Ghana,Left Winger
316,Mohamed Elyounoussi,28,€12.00m, Southampton FC ,Norway,Left Winger
317,Moussa Djenepo,24,€10.00m, Southampton FC ,Mali,Left Winger
318,Mislav Orsic,30,€7.00m, Southampton FC ,Croatia,Left Winger
319,Samuel Edozie,20,€7.00m, Southampton FC ,England,Left Winger
320,Theo Walcott,34,€1.80m, Southampton FC ,England,Right Winger
321,Ché Adams,26,€22.00m, Southampton FC ,Scotland,Centre-Forward
322,Paul Onuachu,28,€17.00m, Southampton FC ,Nigeria,Centre-Forward
323,Adam Armstrong,26,€12.00m, Southampton FC ,England,Centre-Forward
324,Sékou Mara,20,€12.00m, Southampton FC ,France,Centre-Forward
325,Robert Sánchez,25,€32.00m, Brighton & Hove Albion ,Spain,Goalkeeper
326,Jason Steele,32,€1.00m, Brighton & Hove Albion ,England,Goalkeeper
327,Adam Webster,28,€22.00m, Brighton & Hove Albion ,England,Centre-Back
328,Lewis Dunk,31,€18.00m, Brighton & Hove Albion ,England,Centre-Back
329,Levi Colwill,20,€16.00m, Brighton & Hove Albion ,England,Centre-Back
330,Jan Paul van Hecke,22,€4.00m, Brighton & Hove Albion ,Netherlands,Centre-Back
331,Pervis Estupiñán,25,€20.00m, Brighton & Hove Albion ,Ecuador,Left-Back
332,Tariq Lamptey,22,€15.00m, Brighton & Hove Albion ,Ghana,Right-Back
333,Joël Veltman,31,€10.00m, Brighton & Hove Albion ,Netherlands,Right-Back
334,Moisés Caicedo,21,€55.00m, Brighton & Hove Albion ,Ecuador,Defensive Midfield
335,Alexis Mac Allister,24,€42.00m, Brighton & Hove Albion ,Argentina,Central Midfield
336,Jakub Moder,24,€12.00m, Brighton & Hove Albion ,Poland,Central Midfield
337,Billy Gilmour,21,€9.00m, Brighton & Hove Albion ,Scotland,Central Midfield
338,Pascal Groß,31,€8.00m, Brighton & Hove Albion ,Germany,Central Midfield
339,Yasin Ayari,19,€4.00m, Brighton & Hove Albion ,Sweden,Central Midfield
340,Facundo Buonanotte,18,€9.00m, Brighton & Hove Albion ,Argentina,Attacking Midfield
341,Jeremy Sarmiento,20,€5.00m, Brighton & Hove Albion ,Ecuador,Attacking Midfield
342,Adam Lallana,34,€1.50m, Brighton & Hove Albion ,England,Attacking Midfield
343,Kaoru Mitoma,25,€22.00m, Brighton & Hove Albion ,Japan,Left Winger
344,Solly March,28,€18.00m, Brighton & Hove Albion ,England,Right Winger
345,Julio Enciso,19,€11.00m, Brighton & Hove Albion ,Paraguay,Centre-Forward
346,Evan Ferguson,18,€10.00m, Brighton & Hove Albion ,Ireland,Centre-Forward
347,Danny Welbeck,32,€8.00m, Brighton & Hove Albion ,England,Centre-Forward
348,Deniz Undav,26,€6.00m, Brighton & Hove Albion ,Germany,Centre-Forward
349,Jordan Pickford,29,€25.00m, Everton FC ,England,Goalkeeper
350,Asmir Begovic,35,€1.00m, Everton FC ,Bosnia-Herzegovina,Goalkeeper
351,Andy Lonergan,39,€200k, Everton FC ,England,Goalkeeper
352,James Tarkowski,30,€22.00m, Everton FC ,England,Centre-Back
353,Conor Coady,30,€18.00m, Everton FC ,England,Centre-Back
354,Ben Godfrey,25,€15.00m, Everton FC ,England,Centre-Back
355,Mason Holgate,26,€12.00m, Everton FC ,England,Centre-Back
356,Yerry Mina,28,€12.00m, Everton FC ,Colombia,Centre-Back
357,Michael Keane,30,€10.00m, Everton FC ,England,Centre-Back
