,Player,Nation,Pos,Squad,Comp,Age
356,Redwan Bourles,FRA,2,Lorient,Ligue 1,19
357,Edoardo Bove,ITA,2,Roma,Serie A,20
358,Jarrod Bowen,ENG,3,West Ham,Premier League,25
359,Dedryck Boyata,BEL,1,Hertha BSC,Bundesliga,31
360,Lucas Boyé,ARG,3,Elche,La Liga,26
361,Domagoj Bradari?,CRO,1,Lille,Ligue 1,22
362,Bilal Brahimi,FRA,3,Angers,Ligue 1,22
363,Bilal Brahimi,FRA,2,Nice,Ligue 1,22
364,Martin Braithwaite,DEN,3,Barcelona,La Liga,30
365,Julian Brandt,GER,2,Dortmund,Bundesliga,26
366,Jarrad Branthwaite,ENG,1,Everton,Premier League,19
367,Darko Braanac,SRB,2,Osasuna,La Liga,30
368,Lilian Brassier,FRA,1,Brest,Ligue 1,22
369,Claudio Bravo,CHI,4,Betis,La Liga,39
370,Iker Bravo,ESP,3,Leverkusen,Bundesliga,17
371,Fabian Bredlow,GER,4,Stuttgart,Bundesliga,27
372,Josip Brekalo,CRO,2,Wolfsburg,Bundesliga,23
373,Josip Brekalo,CRO,3,Torino,Serie A,23
374,Gleison Bremer,BRA,1,Torino,Serie A,25
375,Jimmy Briand,FRA,3,Bordeaux,Ligue 1,36
376,Yan Brice Eteki,CMR,2,Granada,La Liga,24
377,Brian Brobbey,NED,3,RB Leipzig,Bundesliga,20
378,Armando Broja,ALB,3,Southampton,Premier League,20
379,Dylan Bronn,TUN,1,Metz,Ligue 1,26
380,John Brooks,USA,1,Wolfsburg,Bundesliga,29
381,Daniel Brosinski,GER,1,Mainz 05,Bundesliga,33
382,Josh Brownhill,ENG,2,Burnley,Premier League,26
383,Marcelo Brozovi?,CRO,2,Inter,Serie A,29
384,Cédric Brunner,SUI,1,Arminia,Bundesliga,28
385,Lewis Brunt,ENG,2,Leicester City,Premier League,21
386,Jacob Bruun Larsen,DEN,3,Hoffenheim,Bundesliga,23
387,Bryan,ESP,2,Valencia,La Liga,21
388,Bryan,ESP,3,Tottenham,Premier League,21
389,Ante Budimir,CRO,3,Osasuna,La Liga,30
390,Emi Buendía,ARG,3,Aston Villa,Premier League,25
391,Osman Bukari,GHA,3,Nantes,Ligue 1,23
392,Aleksander Buksa,POL,3,Genoa,Serie A,19
393,Alessandro Buongiorno,ITA,1,Torino,Serie A,22
394,Sascha Burchert,GER,4,Greuther Fürth,Bundesliga,32
395,Delano Burgzorg,NED,3,Mainz 05,Bundesliga,23
396,Jonathan Burkardt,GER,3,Mainz 05,Bundesliga,21
397,Roman Bürki,SUI,4,Dortmund,Bundesliga,31
398,Dan Burn,ENG,1,Brighton,Premier League,30
399,Dan Burn,ENG,1,Newcastle Utd,Premier League,30
400,Maxime Busi,BEL,1,Reims,Ligue 1,22
401,Gianluca Busio,USA,2,Venezia,Serie A,20
402,Oriol Busquets,ESP,2,Clermont Foot,Ligue 1,23
403,Sergio Busquets,ESP,2,Barcelona,La Liga,33
404,Jack Butland,ENG,4,Crystal Palace,Premier League,29
405,Adrián Butzke,ESP,3,Granada,La Liga,23
406,Marcin Bu?ka,POL,4,Nice,Ligue 1,22
407,Jamie Bynoe-Gittens,ENG,3,Dortmund,Bundesliga,17
408,Sam Byram,ENG,1,Norwich City,Premier League,28
409,Erick Cabaco,URU,1,Getafe,La Liga,27
410,Willy Caballero,ARG,4,Southampton,Premier League,40
411,Rémy Cabella,FRA,2,Montpellier,Ligue 1,32
412,Jimmy Cabot,FRA,1,Angers,Ligue 1,28
413,Jovane Cabral,CPV,3,Lazio,Serie A,23
414,Leandro Cabrera,URU,1,Espanyol,La Liga,30
415,Liberato Cacace,NZL,1,Empoli,Serie A,21
416,Martín Cáceres,URU,1,Cagliari,Serie A,35
417,Martín Cáceres,URU,1,Levante,La Liga,35
418,Anthony Caci,FRA,1,Strasbourg,Ligue 1,24
419,Mathieu Cafaro,FRA,3,Reims,Ligue 1,25
420,Yannick Cahuzac,FRA,2,Lens,Ligue 1,37
421,Felipe Caicedo,ECU,3,Genoa,Serie A,33
422,Felipe Caicedo,ECU,3,Inter,Serie A,33
423,Moisés Caicedo,ECU,2,Brighton,Premier League,20
424,Marc-Aurèle Caillard,FRA,4,Metz,Ligue 1,28
425,Jens Cajuste,SWE,2,Reims,Ligue 1,22
426,Cala,ESP,1,Cádiz,La Liga,32
427,Davide Calabria,ITA,1,Milan,Serie A,25
428,Riccardo Calafiori,ITA,1,Genoa,Serie A,20
429,Riccardo Calafiori,ITA,1,Roma,Serie A,20
430,Mattia Caldara,ITA,1,Venezia,Serie A,28
431,Calderón,ESP,1,Betis,La Liga,22
432,Fernando Calero,ESP,1,Espanyol,La Liga,26
433,Duje ?aleta-Car,CRO,1,Marseille,Ligue 1,25
434,Hakan Çalhanoðlu,TUR,2,Inter,Serie A,28
435,Daniel Caligiuri,ITA,1,Augsburg,Bundesliga,34
436,José Callejón,ESP,3,Fiorentina,Serie A,35
437,Lucas Calodat,FRA,1,Saint-Étienne,Ligue 1,20
438,Dominic Calvert-Lewin,ENG,3,Everton,Premier League,25
439,Mahdi Camara,FRA,2,Saint-Étienne,Ligue 1,23
440,Mamadou Camara,FRA,3,Troyes,Ligue 1,21
441,Víctor Camarasa,ESP,2,Betis,La Liga,28
442,Eduardo Camavinga,FRA,2,Rennes,Ligue 1,19
443,Eduardo Camavinga,FRA,2,Real Madrid,La Liga,19
444,Andrea Cambiaso,ITA,1,Genoa,Serie A,22
445,José Campaña,ESP,2,Levante,La Liga,28
446,Chem Campbell,WAL,2,Wolves,Premier League,19
447,Emre Can,GER,1,Dortmund,Bundesliga,28
448,Sergio Canales,ESP,3,Betis,La Liga,31
