,Player,Value,Nation,Pos,Pos2,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,stats_id,player_id
18,Yacine Adli,900000000,FRA,2,FW,Bordeaux,Ligue 1,21,36.0,25.0,2260.0,0.04,1.31,0.6,45.5,0.03,19.9,0.16,0.0,0.0,36.3,73.6,84.5,81.5,56.8,0.28,1.55,0.16,49.3,1.71,7.85,3.63,1.55,2.67,5.02,42.0,2.39,4.1,0.52,1.04,0.68,0.2,0.6,22.4,24.9,1.63,0.12,0.0,2.15,4.06,1.12,11.6,34.3,20.7,1.75,3.15,55.7,43.2,240.4,124.0,2.59,43.6,85.9,0.2,0.0,0.0,1.08,1.31,0.16,1.55,0.0,0.0,0.96,0.8,54.5,19,19
19,Michel Aebischer,350000000,SUI,2,N/A,Bologna,Serie A,25,12.0,4.0,443.0,0.0,0.41,0.41,100.0,0.0,20.8,0.0,0.0,0.0,44.1,88.9,95.4,90.3,66.7,0.0,1.02,0.2,49.6,1.43,8.78,2.04,0.41,1.43,7.55,39.4,1.02,1.84,0.0,1.22,1.43,0.41,1.02,50.0,26.1,1.02,0.0,0.0,1.02,4.08,2.65,13.1,32.4,13.7,0.2,0.61,33.3,38.8,150.0,70.2,1.43,40.4,90.8,0.2,0.0,0.0,2.86,0.82,0.0,0.41,0.0,0.0,1.22,1.63,42.9,20,20
20,Felix Afena-Gyan,550000000,GHA,3,MF,Roma,Serie A,19,17.0,6.0,668.0,0.27,2.43,0.95,38.9,0.11,15.0,0.0,0.0,0.0,16.9,76.2,81.1,80.8,55.6,0.0,0.81,0.27,22.2,0.14,3.38,0.54,1.08,0.0,1.35,18.9,1.35,3.24,0.41,0.14,0.81,0.14,0.54,44.4,30.0,0.68,0.0,0.0,0.68,1.76,0.0,2.97,17.0,25.9,1.22,3.11,39.1,32.7,159.9,103.9,4.32,29.7,59.1,0.68,0.14,0.14,2.03,3.51,0.54,1.08,0.0,0.0,1.22,2.43,33.3,21,21
22,Julen Agirrezabala,500000000,ESP,4,N/A,Athletic Club,La Liga,21,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,74.4,100.0,100.0,43.2,0.0,0.0,0.0,20.5,2.0,0.75,0.25,0.0,0.0,7.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,23.8,0.0,0.0,0.0,0.0,0.0,9.5,39.8,18.8,0.0,6.25,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,23
24,Kevin Agudelo,350000000,COL,2,FW,Spezia,Serie A,23,23.0,12.0,1237.0,0.22,1.61,0.8,50.0,0.14,16.6,0.0,0.0,0.0,20.7,73.8,82.4,80.4,36.0,0.07,0.95,0.22,28.1,0.07,8.83,0.51,0.95,0.29,23.4,2.12,1.46,2.77,0.22,1.02,1.46,0.51,0.58,42.1,29.2,1.97,0.0,0.0,1.31,4.31,0.8,6.5,21.9,20.8,2.04,3.72,54.9,33.1,194.1,114.3,3.87,28.1,77.5,0.15,0.07,0.0,2.85,1.9,0.0,0.95,0.0,0.0,1.17,1.46,44.4,25,25
25,Nayef Aguerd,3200000000,MAR,1,N/A,Rennes,Ligue 1,26,31.0,31.0,2735.0,0.07,0.82,0.23,28.0,0.08,8.6,0.0,0.0,0.0,64.3,90.0,93.4,95.5,78.4,0.07,0.07,0.0,71.5,2.04,6.12,3.26,0.07,0.0,60.6,7.3,1.22,0.39,0.13,0.56,0.43,0.0,0.23,38.9,6.25,0.99,0.43,0.0,1.78,2.76,9.51,41.3,42.7,1.88,0.16,0.2,83.3,57.1,279.3,149.8,0.2,61.3,98.6,0.1,0.03,0.0,0.59,0.53,0.03,0.07,0.07,0.0,3.55,1.51,70.1,26,26
27,Ruben Aguilar,1000000000,FRA,1,N/A,Monaco,Ligue 1,29,28.0,22.0,2140.0,0.0,0.42,0.08,20.0,0.0,22.2,0.0,0.0,0.0,60.4,83.8,92.3,87.0,54.9,0.08,1.43,0.25,72.1,1.51,6.85,1.43,2.18,0.04,1.13,57.5,2.1,1.09,0.13,2.02,1.39,0.42,1.89,61.6,17.5,1.64,0.29,0.0,2.48,6.3,3.74,22.9,44.6,21.5,0.42,0.71,58.8,48.8,232.9,141.9,0.38,50.5,92.8,0.17,0.0,0.0,1.34,1.26,0.04,2.18,0.0,0.04,1.64,1.68,49.4,28,28
29,Naouirou Ahamada,1000000000,FRA,2,N/A,Stuttgart,Bundesliga,20,3.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,88.2,86.7,90.0,85.7,0.0,0.0,0.0,48.6,1.43,10.0,2.86,0.0,0.0,7.14,40.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,2.86,0.0,0.0,0.0,0.0,0.0,8.57,40.0,10.0,0.0,0.0,0.0,48.6,232.9,104.3,1.43,45.7,91.4,0.0,0.0,0.0,2.86,1.43,0.0,0.0,0.0,0.0,1.43,4.29,25.0,30,30
30,Anel Ahmedhodzic,20000000,BIH,1,N/A,Bordeaux,Ligue 1,23,15.0,15.0,1350.0,0.0,0.47,0.27,57.1,0.0,14.8,0.0,0.0,0.0,51.3,88.6,94.7,91.5,74.3,0.07,0.4,0.13,57.9,1.47,6.73,1.87,0.47,0.0,8.87,44.3,0.73,1.33,0.07,1.8,0.47,0.07,0.87,48.1,9.93,1.27,0.53,0.0,2.27,4.6,8.8,33.9,34.5,4.53,0.13,0.33,40.0,44.3,275.8,163.1,0.47,45.1,98.5,0.4,0.0,0.0,1.4,0.73,0.0,0.47,0.0,0.0,1.67,0.67,71.4,31,31
31,Jean-Eudes Aholou,300000000,CIV,2,N/A,Strasbourg,Ligue 1,28,25.0,11.0,1004.0,0.09,1.52,0.18,11.8,0.06,20.2,0.0,0.0,0.0,31.1,84.7,91.6,87.6,60.0,0.09,0.71,0.09,36.7,0.89,5.18,0.36,0.36,0.0,25.7,8.13,0.98,1.96,0.27,0.45,0.98,0.36,0.71,57.1,17.8,0.71,0.09,0.0,2.05,3.84,1.16,8.21,30.0,13.1,1.07,1.79,60.0,31.3,152.3,75.9,1.34,30.4,87.0,0.18,0.0,0.0,2.05,1.7,0.0,0.36,0.0,0.0,1.25,0.71,63.6,32,32
32,Joseph Aidoo,800000000,GHA,1,N/A,Celta Vigo,La Liga,26,32.0,30.0,2637.0,0.0,0.2,0.03,16.7,0.0,12.8,0.0,0.0,0.0,43.1,83.0,88.1,89.5,69.9,0.0,0.24,0.03,52.0,0.55,5.56,1.23,0.07,0.0,8.57,38.1,1.37,0.44,0.07,1.57,0.27,0.14,0.75,66.7,10.9,1.67,0.58,0.0,1.88,3.86,7.88,33.4,31.3,1.64,0.27,0.34,80.0,40.5,240.8,135.0,0.34,39.9,98.9,0.03,0.0,0.0,0.38,0.65,0.03,0.07,0.0,0.03,2.63,1.74,60.2,33,33
33,Ola Aina,350000000,NGA,1,N/A,Torino,Serie A,25,21.0,17.0,1437.0,0.0,0.63,0.25,40.0,0.0,22.1,0.0,0.0,0.0,34.1,72.1,86.6,77.5,45.9,0.0,1.31,0.31,47.3,0.56,5.31,0.56,1.88,0.0,9.44,26.3,1.44,2.19,0.0,0.94,0.81,0.25,1.06,68.0,10.5,1.56,0.19,0.0,2.06,4.06,3.19,15.5,29.4,20.4,1.0,1.94,51.6,33.8,190.8,114.6,1.13,34.6,86.0,0.25,0.0,0.0,1.25,1.94,0.06,1.88,0.0,0.0,1.13,1.44,43.9,34,34
35,Kristoffer Ajer,1600000000,NOR,1,N/A,Brentford,Premier League,24,24.0,23.0,1995.0,0.05,0.32,0.05,14.3,0.14,9.1,0.0,0.0,0.0,28.3,72.1,82.8,79.7,48.4,0.14,0.45,0.05,39.3,0.36,6.22,0.68,0.54,0.0,1.89,26.0,1.49,1.26,0.27,1.13,0.54,0.14,0.9,55.6,9.28,1.62,0.59,0.05,2.21,4.01,5.27,20.8,24.1,8.29,0.5,0.77,64.7,25.3,152.5,92.2,0.5,24.1,89.7,0.23,0.0,0.0,0.81,0.86,0.0,0.54,0.0,0.0,2.84,1.71,62.4,36,36
36,Ludovic Ajorque,900000000,REU,3,N/A,Strasbourg,Ligue 1,28,36.0,31.0,2738.0,0.39,1.94,0.79,40.7,0.15,13.1,0.0,0.1,0.1,22.0,73.7,79.7,73.2,67.5,0.26,0.89,0.16,29.9,0.0,9.61,0.56,0.59,0.0,17.1,5.56,1.58,2.47,0.3,0.13,0.76,0.63,0.26,20.0,17.1,0.79,0.16,0.0,0.49,2.01,1.22,3.75,21.9,17.3,0.49,1.02,48.4,21.1,72.2,31.1,1.48,32.2,61.9,0.16,0.03,0.0,1.32,1.22,0.46,0.59,0.0,0.03,5.07,3.95,56.2,37,37
37,Manuel Akanji,3000000000,SUI,1,N/A,Dortmund,Bundesliga,26,26.0,25.0,2261.0,0.04,0.56,0.12,21.4,0.07,10.4,0.04,0.0,0.0,71.8,90.7,92.4,95.9,79.6,0.0,0.12,0.0,79.1,2.31,7.93,2.75,0.08,0.0,15.7,59.3,1.04,0.44,0.0,1.16,0.64,0.2,0.88,61.1,9.8,1.51,0.72,0.0,1.87,3.86,10.2,43.3,47.6,2.83,0.28,0.28,100.0,60.8,355.1,184.1,0.16,66.3,98.8,0.12,0.0,0.0,0.92,1.04,0.04,0.08,0.0,0.04,2.55,1.55,62.1,38,38
40,Nathan Aké,3500000000,NED,1,N/A,Manchester City,Premier League,27,14.0,10.0,923.0,0.19,0.49,0.19,40.0,0.4,5.8,0.0,0.0,0.0,75.7,91.2,94.3,92.2,81.6,0.0,0.29,0.0,83.0,1.55,6.89,0.49,0.0,0.0,60.3,15.0,0.68,0.29,0.0,0.58,0.78,0.1,0.39,57.1,6.8,1.17,0.49,0.0,1.75,3.2,6.5,34.1,53.0,11.2,0.0,0.19,0.0,66.0,345.6,216.1,0.1,70.3,96.0,0.0,0.0,0.0,0.78,0.49,0.0,0.0,0.0,0.0,3.98,0.78,83.7,41,41
42,Maghnes Akliouche,600000000,FRA,2,FW,Monaco,Ligue 1,20,7.0,0.0,54.0,0.0,3.33,1.67,50.0,0.0,13.5,0.0,0.0,0.0,33.3,90.9,100.0,83.3,50.0,0.0,5.0,0.0,36.7,0.0,8.33,0.0,0.0,0.0,26.7,10.0,0.0,1.67,0.0,1.67,1.67,0.0,0.0,0.0,35.0,3.33,0.0,0.0,0.0,3.33,0.0,6.67,23.3,36.7,1.67,6.67,25.0,48.3,245.0,120.0,0.0,46.7,75.7,1.67,0.0,0.0,5.0,1.67,1.67,0.0,0.0,0.0,1.67,3.33,33.3,43,43
43,Paul Akouokou,400000000,CIV,2,N/A,Betis,La Liga,24,8.0,6.0,516.0,0.0,0.35,0.0,0.0,0.0,21.0,0.0,0.0,0.0,50.4,87.5,88.6,90.8,76.7,0.0,0.35,0.0,57.5,0.53,6.84,1.75,0.0,0.0,4.74,49.1,1.05,1.05,0.0,0.88,1.58,0.53,1.58,69.2,19.8,1.23,0.0,0.0,2.11,5.09,2.11,14.7,44.7,9.12,1.05,1.58,66.7,45.3,166.7,76.0,1.05,47.5,97.1,0.35,0.18,0.0,2.46,0.53,0.0,0.0,0.0,0.0,1.58,0.18,90.0,44,44
45,Kevin Akpoguma,400000000,NGA,1,N/A,Hoffenheim,Bundesliga,27,26.0,19.0,1527.0,0.12,0.71,0.24,33.3,0.17,12.7,0.0,0.0,0.0,42.4,77.5,85.3,83.8,55.9,0.12,0.76,0.12,54.7,1.0,7.29,1.12,1.71,0.0,5.18,37.6,2.12,1.59,0.24,1.0,0.71,0.47,1.06,56.3,14.9,3.29,0.12,0.0,2.06,4.24,3.71,22.4,31.9,16.8,1.06,2.06,51.4,37.8,180.6,101.9,0.82,37.4,89.9,0.29,0.0,0.0,1.76,1.41,0.24,1.71,0.06,0.0,1.35,1.29,51.1,46,46
46,David Alaba,5000000000,AUT,1,N/A,Real Madrid,La Liga,29,30.0,30.0,2642.0,0.07,0.71,0.2,28.6,0.1,22.0,0.24,0.0,0.0,61.4,91.7,96.5,94.3,75.8,0.1,0.61,0.17,66.9,1.36,5.37,0.65,1.09,0.1,55.2,8.54,0.65,1.56,0.27,0.44,0.34,0.07,0.31,56.3,7.59,1.26,0.58,0.03,1.39,2.24,8.74,33.6,36.5,10.0,0.17,0.27,62.5,54.4,331.9,181.2,0.24,57.4,96.7,0.07,0.0,0.0,0.61,0.44,0.07,1.09,0.0,0.0,0.78,0.78,50.0,47,47
49,Lucas Alario,400000000,ARG,3,N/A,Leverkusen,Bundesliga,29,27.0,5.0,655.0,0.82,3.15,1.78,56.5,0.26,11.2,0.0,0.0,0.14,14.5,68.4,71.7,76.7,28.6,0.0,0.27,0.0,21.2,0.0,6.44,0.14,0.41,0.0,1.64,14.8,1.1,3.42,0.55,0.0,0.55,0.14,0.27,66.7,14.0,0.96,0.0,0.0,0.41,1.1,0.96,3.15,14.9,18.5,1.51,1.78,84.6,22.5,90.1,38.8,2.19,26.8,64.7,0.27,0.0,0.0,1.1,1.51,0.96,0.41,0.0,0.0,2.74,4.79,36.4,50,50
50,Jordi Alba,500000000,ESP,1,N/A,Barcelona,La Liga,33,30.0,30.0,2644.0,0.07,1.05,0.2,19.4,0.06,23.5,0.03,0.0,0.0,79.5,84.3,92.1,87.0,63.2,0.34,2.18,0.61,94.2,2.86,6.26,1.73,3.54,0.03,72.8,9.83,2.59,2.86,0.44,0.41,0.88,0.2,0.75,47.8,11.0,1.9,0.24,0.0,1.63,3.13,3.16,24.4,50.7,32.1,0.24,0.75,31.8,64.7,225.4,120.1,0.27,73.3,94.1,0.37,0.0,0.0,0.95,0.85,0.37,3.54,0.0,0.0,0.61,1.02,37.5,51,51
52,Luis Alberto,1800000000,ESP,2,N/A,Lazio,Serie A,29,34.0,27.0,2353.0,0.19,1.8,0.61,34.0,0.11,19.8,0.04,0.0,0.0,63.0,83.1,92.0,87.2,54.3,0.34,1.88,0.27,75.7,3.07,12.0,2.99,1.92,3.91,3.87,69.8,2.49,4.29,0.61,0.34,0.46,0.38,0.42,24.4,15.8,1.11,0.15,0.0,0.84,2.03,0.88,12.2,47.5,30.8,0.96,1.69,56.8,62.4,315.4,186.2,1.07,65.3,91.8,0.19,0.0,0.0,0.65,1.07,0.04,1.92,0.0,0.0,0.42,0.57,42.3,53,53
53,Raúl Albiol,300000000,ESP,1,N/A,Villarreal,La Liga,36,28.0,28.0,2465.0,0.0,0.22,0.04,16.7,0.0,8.1,0.0,0.0,0.0,48.8,87.5,92.5,93.3,76.3,0.0,0.04,0.0,55.8,1.75,5.99,1.93,0.0,0.0,8.83,43.1,0.66,0.33,0.07,0.62,0.36,0.0,0.33,64.3,6.13,1.39,0.58,0.04,1.35,2.34,10.5,38.2,30.7,1.24,0.18,0.29,62.5,40.7,268.6,153.7,0.15,44.0,99.0,0.29,0.0,0.0,0.73,0.47,0.07,0.0,0.0,0.0,1.93,1.02,65.4,54,54
57,Rubén Alcaraz,200000000,ESP,2,N/A,Cádiz,La Liga,31,14.0,12.0,1105.0,0.16,1.87,0.49,26.1,0.09,22.7,0.41,0.0,0.0,44.8,84.1,90.9,89.1,71.2,0.0,0.98,0.16,53.3,2.85,9.02,3.17,0.98,0.49,7.4,41.1,1.14,2.44,0.0,1.38,2.03,0.08,1.06,39.4,24.5,1.22,0.16,0.0,1.22,4.72,1.87,13.6,43.7,13.4,0.49,0.81,60.0,44.4,248.6,131.6,1.22,42.9,93.6,0.57,0.0,0.0,2.93,3.25,0.08,0.98,0.08,0.0,2.36,1.79,56.9,58,58
58,Omar Alderete,400000000,PAR,1,N/A,Valencia,La Liga,25,29.0,28.0,2403.0,0.07,0.64,0.19,29.4,0.12,16.3,0.0,0.0,0.0,21.6,62.2,81.1,76.3,44.1,0.0,0.26,0.0,34.8,1.87,4.64,3.11,0.07,0.0,26.9,2.4,1.01,0.41,0.07,1.54,0.86,0.04,1.12,56.6,9.25,1.35,0.67,0.0,2.62,5.06,7.9,26.0,23.1,2.36,0.41,0.56,73.3,22.0,149.4,88.2,0.3,20.8,97.9,0.56,0.0,0.0,1.84,0.26,0.0,0.07,0.07,0.0,3.56,1.54,69.9,59,59
59,Iván Alejo,120000000,ESP,2,FW,Cádiz,La Liga,27,20.0,11.0,1065.0,0.17,1.02,0.34,33.3,0.17,21.2,0.0,0.0,0.0,17.1,58.9,81.0,63.6,30.4,0.17,1.78,1.61,29.1,0.25,5.25,1.86,6.53,0.0,1.86,23.3,0.68,3.14,0.42,1.86,0.68,0.25,1.27,39.5,28.9,1.27,0.0,0.0,1.36,4.15,2.03,10.8,19.4,21.4,1.44,3.56,40.5,33.2,275.3,171.2,2.97,29.7,74.8,0.59,0.0,0.0,3.22,3.31,0.42,6.53,0.08,0.0,1.19,1.19,50.0,60,60
61,Carles Aleñá,1000000000,ESP,2,N/A,Getafe,La Liga,24,33.0,30.0,2320.0,0.04,1.82,0.54,29.8,0.02,23.2,0.0,0.0,0.0,26.7,80.1,88.9,82.4,65.1,0.08,0.62,0.16,33.3,0.93,7.83,1.4,0.85,0.43,28.4,3.06,1.2,2.02,0.16,0.62,0.5,0.19,0.62,33.3,21.4,1.05,0.08,0.0,0.74,2.05,0.54,5.54,25.1,14.8,0.58,1.32,44.1,31.2,145.9,67.3,1.67,31.0,80.5,0.23,0.04,0.0,2.21,1.67,0.04,0.85,0.0,0.0,0.54,1.16,31.8,62,62
62,Trent Alexander-Arnold,6500000000,ENG,1,N/A,Liverpool,Premier League,23,32.0,32.0,2853.0,0.06,1.61,0.44,27.5,0.04,23.0,0.16,0.0,0.0,63.5,74.4,88.0,80.5,57.4,0.38,2.81,0.82,85.4,2.84,7.48,6.28,4.01,4.13,8.8,63.7,3.22,4.73,0.54,0.69,0.47,0.22,0.73,39.0,9.09,1.23,0.16,0.03,2.4,3.79,2.43,19.1,44.5,35.6,0.82,1.39,59.1,54.4,190.7,104.6,0.82,59.3,93.2,0.06,0.0,0.0,0.5,0.28,0.35,4.01,0.0,0.0,0.57,0.69,45.0,63,63
65,Alisson,4500000000,BRA,4,N/A,Liverpool,Premier League,29,36.0,36.0,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,86.6,98.4,98.9,66.3,0.03,0.0,0.0,37.8,1.72,2.67,1.03,0.0,0.0,2.78,28.6,0.53,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.0,0.0,0.0,0.0,30.5,40.3,0.42,0.0,0.06,0.08,66.7,23.1,81.8,44.9,0.0,23.0,99.3,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.03,0.0,0.0,0.0,66,66
67,Jim Allevinah,200000000,GAB,3,N/A,Clermont Foot,Ligue 1,27,30.0,13.0,1488.0,0.06,2.55,0.91,35.7,0.02,18.7,0.06,0.0,0.0,25.1,75.3,83.0,76.5,59.3,0.12,0.73,0.18,33.3,0.24,7.03,1.03,1.88,0.55,5.33,25.5,1.33,2.73,0.18,0.42,0.67,0.36,0.42,41.2,12.7,0.79,0.12,0.0,0.61,2.06,0.67,8.0,24.4,21.8,1.88,3.94,47.7,39.2,281.3,164.6,3.03,37.7,80.2,0.06,0.0,0.0,1.09,2.36,0.12,1.88,0.06,0.0,1.03,1.45,41.5,68,68
68,Dele Alli,1100000000,ENG,2,N/A,Everton,Premier League,26,11.0,1.0,338.0,0.0,0.79,0.0,0.0,0.0,19.3,0.0,0.0,0.0,30.0,75.0,76.1,84.6,61.1,0.0,1.05,0.26,40.0,0.53,8.95,0.26,1.05,0.26,1.32,34.7,2.37,2.63,0.26,1.58,1.58,0.79,1.32,41.7,33.4,2.37,0.53,0.0,2.63,6.58,3.95,12.4,32.6,20.0,1.05,2.63,40.0,37.4,173.4,92.6,3.68,35.5,78.5,0.79,0.0,0.0,2.89,1.84,0.53,1.05,0.0,0.0,2.11,2.89,42.1,69,69
