,Player,Value,Nation,Pos,Pos2,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,stats_id,player_id,predicted_value
10,Ragnar Ache,0,GER,2,FW,Eint Frankfurt,Bundesliga,23,13.0,1.0,259.0,0.0,3.79,0.69,18.2,0.0,15.8,0.0,0.0,0.0,14.5,59.2,62.9,63.0,33.3,0.34,0.69,0.69,24.5,0.0,8.97,0.34,2.07,0.0,4.14,12.1,1.38,1.72,0.34,0.0,0.34,0.34,0.69,66.7,23.8,1.03,0.0,0.0,0.0,0.69,0.34,2.76,20.3,24.8,1.38,2.76,50.0,26.9,150.7,96.2,2.76,34.8,60.8,0.0,0.0,0.0,2.07,2.76,2.07,2.07,0.0,0.0,6.9,3.79,64.5,11,11,-49944971.08998191
11,Mohamed Achi,0,FRA,2,N/A,Nantes,Ligue 1,20,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,30.0,20.0,0.0,0.0,0.0,40.0,170.0,100.0,0.0,40.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12,158863107.13286415
12,Marcos Acuña,1200000000,ARG,1,N/A,Sevilla,La Liga,30,31.0,26.0,2260.0,0.04,0.68,0.2,29.4,0.06,22.1,0.04,0.0,0.0,62.3,79.4,93.1,84.9,58.0,0.12,1.67,0.92,78.5,2.39,6.77,4.22,4.94,1.59,58.5,7.69,2.47,2.63,0.12,1.31,0.6,0.4,0.84,60.0,11.7,1.43,0.16,0.0,1.24,3.55,2.75,27.5,41.3,25.6,1.79,2.59,69.2,59.4,292.9,178.4,1.08,59.2,95.3,0.4,0.0,0.0,1.63,2.15,0.0,4.94,0.04,0.0,1.31,1.47,47.1,13,13,2116458371.5211186
13,Che Adams,0,SCO,3,N/A,Southampton,Premier League,25,30.0,23.0,2039.0,0.31,2.16,1.06,49.0,0.14,12.9,0.0,0.0,0.0,14.8,69.6,77.9,74.8,56.6,0.13,0.57,0.04,21.3,0.0,6.04,0.44,0.48,0.0,1.94,15.4,1.15,2.25,0.18,0.18,0.26,0.26,0.09,13.3,14.6,1.1,0.18,0.0,0.44,1.15,1.19,4.1,14.6,16.5,0.62,1.45,42.4,20.9,83.0,36.7,2.11,23.9,52.9,0.0,0.0,0.0,1.37,2.07,0.31,0.48,0.0,0.0,2.47,4.89,33.5,14,14,1343188999.809226
14,Tyler Adams,2000000000,USA,2,N/A,RB Leipzig,Bundesliga,23,24.0,12.0,1351.0,0.0,0.13,0.0,0.0,0.0,19.4,0.0,0.0,0.0,52.8,86.7,91.3,89.8,72.3,0.07,0.67,0.0,60.9,1.67,10.1,0.4,0.2,0.0,8.67,46.8,1.6,1.67,0.27,0.4,1.13,0.2,0.53,28.6,21.7,2.13,0.07,0.0,1.53,3.27,1.93,15.2,47.9,12.7,0.67,1.13,58.8,48.0,229.6,116.7,1.13,49.4,92.4,0.33,0.0,0.0,1.33,1.2,0.0,0.2,0.0,0.0,1.53,0.8,65.7,15,15,1203261977.8675218
15,Sargis Adamyan,200000000,ARM,3,MF,Hoffenheim,Bundesliga,29,13.0,2.0,331.0,0.27,0.81,0.54,66.7,0.33,16.7,0.0,0.0,0.0,19.7,74.5,84.4,76.3,62.5,0.0,1.08,0.54,26.5,0.0,7.3,0.0,1.62,0.0,5.14,15.9,1.35,2.97,0.27,2.16,1.08,0.27,1.35,38.5,21.9,1.35,0.0,0.0,0.81,4.32,1.08,7.3,18.1,17.8,1.62,2.43,66.7,28.1,136.2,55.9,3.51,25.9,63.2,0.0,0.0,0.0,1.62,2.43,1.08,1.62,0.0,0.0,1.35,3.51,27.8,16,16,31017860.13425461
16,Martin Adeline,0,FRA,2,FW,Reims,Ligue 1,18,8.0,2.0,352.0,0.0,1.03,0.26,25.0,0.0,10.8,0.0,0.0,0.0,27.4,73.3,80.0,80.0,60.0,0.0,0.51,0.0,37.4,0.51,12.6,0.26,0.51,1.03,6.41,29.7,3.08,2.05,0.0,2.05,1.28,0.26,1.28,33.3,26.2,1.03,0.0,0.0,3.59,7.18,2.31,13.1,23.6,15.6,0.77,1.28,60.0,31.0,160.3,76.9,0.77,27.4,79.9,0.26,0.0,0.0,4.1,0.51,0.0,0.51,0.0,0.0,0.51,2.05,20.0,17,17,209509761.02495492
17,Amine Adli,1500000000,FRA,3,MF,Leverkusen,Bundesliga,22,25.0,13.0,1256.0,0.21,2.71,1.36,50.0,0.08,15.3,0.0,0.0,0.0,28.0,75.4,84.1,75.1,45.2,0.14,1.14,0.57,37.1,0.14,8.21,0.36,1.86,0.14,29.9,4.29,2.79,3.36,0.5,1.0,1.29,0.43,1.21,58.6,21.4,2.5,0.29,0.0,1.21,3.93,0.71,8.93,28.6,20.8,1.71,3.21,53.3,40.1,224.8,136.9,2.36,39.0,74.5,0.21,0.0,0.0,1.93,2.29,0.57,1.86,0.0,0.0,1.36,2.5,35.2,18,18,1396555831.52598
18,Yacine Adli,900000000,FRA,2,FW,Bordeaux,Ligue 1,21,36.0,25.0,2260.0,0.04,1.31,0.6,45.5,0.03,19.9,0.16,0.0,0.0,36.3,73.6,84.5,81.5,56.8,0.28,1.55,0.16,49.3,1.71,7.85,3.63,1.55,2.67,5.02,42.0,2.39,4.1,0.52,1.04,0.68,0.2,0.6,22.4,24.9,1.63,0.12,0.0,2.15,4.06,1.12,11.6,34.3,20.7,1.75,3.15,55.7,43.2,240.4,124.0,2.59,43.6,85.9,0.2,0.0,0.0,1.08,1.31,0.16,1.55,0.0,0.0,0.96,0.8,54.5,19,19,776649534.6289886
19,Michel Aebischer,350000000,SUI,2,N/A,Bologna,Serie A,25,12.0,4.0,443.0,0.0,0.41,0.41,100.0,0.0,20.8,0.0,0.0,0.0,44.1,88.9,95.4,90.3,66.7,0.0,1.02,0.2,49.6,1.43,8.78,2.04,0.41,1.43,7.55,39.4,1.02,1.84,0.0,1.22,1.43,0.41,1.02,50.0,26.1,1.02,0.0,0.0,1.02,4.08,2.65,13.1,32.4,13.7,0.2,0.61,33.3,38.8,150.0,70.2,1.43,40.4,90.8,0.2,0.0,0.0,2.86,0.82,0.0,0.41,0.0,0.0,1.22,1.63,42.9,20,20,296372101.6269705
20,Felix Afena-Gyan,550000000,GHA,3,MF,Roma,Serie A,19,17.0,6.0,668.0,0.27,2.43,0.95,38.9,0.11,15.0,0.0,0.0,0.0,16.9,76.2,81.1,80.8,55.6,0.0,0.81,0.27,22.2,0.14,3.38,0.54,1.08,0.0,1.35,18.9,1.35,3.24,0.41,0.14,0.81,0.14,0.54,44.4,30.0,0.68,0.0,0.0,0.68,1.76,0.0,2.97,17.0,25.9,1.22,3.11,39.1,32.7,159.9,103.9,4.32,29.7,59.1,0.68,0.14,0.14,2.03,3.51,0.54,1.08,0.0,0.0,1.22,2.43,33.3,21,21,672707561.7126945
21,Martin Agirregabiria,0,ESP,1,N/A,Alavés,La Liga,26,24.0,17.0,1616.0,0.0,0.28,0.0,0.0,0.0,19.7,0.0,0.0,0.0,31.3,71.4,83.0,76.6,43.0,0.06,1.06,0.61,43.8,0.39,4.39,0.94,2.17,0.06,2.06,28.1,1.72,1.44,0.11,1.22,0.67,0.44,1.22,51.2,12.8,1.83,0.17,0.0,1.39,3.72,2.78,16.5,26.6,13.3,0.78,1.06,73.7,25.9,102.2,61.1,0.61,26.1,86.2,0.22,0.0,0.0,1.67,1.5,0.06,2.17,0.06,0.0,1.89,2.17,46.6,22,22,232874255.80704045
22,Julen Agirrezabala,500000000,ESP,4,N/A,Athletic Club,La Liga,21,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,74.4,100.0,100.0,43.2,0.0,0.0,0.0,20.5,2.0,0.75,0.25,0.0,0.0,7.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,23.8,0.0,0.0,0.0,0.0,0.0,9.5,39.8,18.8,0.0,6.25,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,23,130924578.62149934
23,Lucien Agoume,0,FRA,2,N/A,Brest,Ligue 1,20,27.0,21.0,1868.0,0.0,0.77,0.05,6.3,0.0,10.8,0.0,0.0,0.0,39.8,84.4,87.8,88.4,79.8,0.0,0.53,0.0,47.2,1.3,7.4,1.49,0.19,0.05,5.82,38.2,1.49,1.49,0.05,1.2,1.25,0.29,0.77,55.2,18.3,1.83,0.53,0.0,2.69,5.43,2.84,17.9,32.9,10.1,0.96,1.39,69.0,36.4,173.7,84.4,1.01,35.7,93.7,0.29,0.0,0.0,1.68,0.91,0.0,0.19,0.05,0.0,1.49,1.49,50.0,24,24,503653570.0045729
24,Kevin Agudelo,350000000,COL,2,FW,Spezia,Serie A,23,23.0,12.0,1237.0,0.22,1.61,0.8,50.0,0.14,16.6,0.0,0.0,0.0,20.7,73.8,82.4,80.4,36.0,0.07,0.95,0.22,28.1,0.07,8.83,0.51,0.95,0.29,23.4,2.12,1.46,2.77,0.22,1.02,1.46,0.51,0.58,42.1,29.2,1.97,0.0,0.0,1.31,4.31,0.8,6.5,21.9,20.8,2.04,3.72,54.9,33.1,194.1,114.3,3.87,28.1,77.5,0.15,0.07,0.0,2.85,1.9,0.0,0.95,0.0,0.0,1.17,1.46,44.4,25,25,789577141.8625321
25,Nayef Aguerd,3200000000,MAR,1,N/A,Rennes,Ligue 1,26,31.0,31.0,2735.0,0.07,0.82,0.23,28.0,0.08,8.6,0.0,0.0,0.0,64.3,90.0,93.4,95.5,78.4,0.07,0.07,0.0,71.5,2.04,6.12,3.26,0.07,0.0,60.6,7.3,1.22,0.39,0.13,0.56,0.43,0.0,0.23,38.9,6.25,0.99,0.43,0.0,1.78,2.76,9.51,41.3,42.7,1.88,0.16,0.2,83.3,57.1,279.3,149.8,0.2,61.3,98.6,0.1,0.03,0.0,0.59,0.53,0.03,0.07,0.07,0.0,3.55,1.51,70.1,26,26,3078385589.7878666
26,Sergio Agüero,0,ARG,3,N/A,Barcelona,La Liga,33,4.0,2.0,151.0,0.59,3.53,0.59,16.7,0.17,12.1,0.0,0.0,0.0,18.2,72.1,72.0,66.7,100.0,0.0,0.0,0.0,25.3,0.0,8.82,0.0,2.35,0.0,2.94,18.2,0.0,1.76,0.0,0.0,0.0,0.59,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.59,0.0,0.59,16.5,19.4,0.59,0.59,100.0,22.4,139.4,64.7,1.18,31.2,67.9,0.0,0.0,0.0,0.59,1.18,0.59,2.35,0.0,0.0,2.35,1.18,66.7,27,27,394075834.2742708
27,Ruben Aguilar,1000000000,FRA,1,N/A,Monaco,Ligue 1,29,28.0,22.0,2140.0,0.0,0.42,0.08,20.0,0.0,22.2,0.0,0.0,0.0,60.4,83.8,92.3,87.0,54.9,0.08,1.43,0.25,72.1,1.51,6.85,1.43,2.18,0.04,1.13,57.5,2.1,1.09,0.13,2.02,1.39,0.42,1.89,61.6,17.5,1.64,0.29,0.0,2.48,6.3,3.74,22.9,44.6,21.5,0.42,0.71,58.8,48.8,232.9,141.9,0.38,50.5,92.8,0.17,0.0,0.0,1.34,1.26,0.04,2.18,0.0,0.04,1.64,1.68,49.4,28,28,1599002576.0230978
28,Álvaro Aguirre,0,ESP,3,N/A,Rayo Vallecano,La Liga,22,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,20.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,29,79545537.68217885
29,Naouirou Ahamada,1000000000,FRA,2,N/A,Stuttgart,Bundesliga,20,3.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,88.2,86.7,90.0,85.7,0.0,0.0,0.0,48.6,1.43,10.0,2.86,0.0,0.0,7.14,40.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,2.86,0.0,0.0,0.0,0.0,0.0,8.57,40.0,10.0,0.0,0.0,0.0,48.6,232.9,104.3,1.43,45.7,91.4,0.0,0.0,0.0,2.86,1.43,0.0,0.0,0.0,0.0,1.43,4.29,25.0,30,30,265634240.22589678
30,Anel Ahmedhodzic,20000000,BIH,1,N/A,Bordeaux,Ligue 1,23,15.0,15.0,1350.0,0.0,0.47,0.27,57.1,0.0,14.8,0.0,0.0,0.0,51.3,88.6,94.7,91.5,74.3,0.07,0.4,0.13,57.9,1.47,6.73,1.87,0.47,0.0,8.87,44.3,0.73,1.33,0.07,1.8,0.47,0.07,0.87,48.1,9.93,1.27,0.53,0.0,2.27,4.6,8.8,33.9,34.5,4.53,0.13,0.33,40.0,44.3,275.8,163.1,0.47,45.1,98.5,0.4,0.0,0.0,1.4,0.73,0.0,0.47,0.0,0.0,1.67,0.67,71.4,31,31,861131152.3845358
31,Jean-Eudes Aholou,300000000,CIV,2,N/A,Strasbourg,Ligue 1,28,25.0,11.0,1004.0,0.09,1.52,0.18,11.8,0.06,20.2,0.0,0.0,0.0,31.1,84.7,91.6,87.6,60.0,0.09,0.71,0.09,36.7,0.89,5.18,0.36,0.36,0.0,25.7,8.13,0.98,1.96,0.27,0.45,0.98,0.36,0.71,57.1,17.8,0.71,0.09,0.0,2.05,3.84,1.16,8.21,30.0,13.1,1.07,1.79,60.0,31.3,152.3,75.9,1.34,30.4,87.0,0.18,0.0,0.0,2.05,1.7,0.0,0.36,0.0,0.0,1.25,0.71,63.6,32,32,314814520.99920374
32,Joseph Aidoo,800000000,GHA,1,N/A,Celta Vigo,La Liga,26,32.0,30.0,2637.0,0.0,0.2,0.03,16.7,0.0,12.8,0.0,0.0,0.0,43.1,83.0,88.1,89.5,69.9,0.0,0.24,0.03,52.0,0.55,5.56,1.23,0.07,0.0,8.57,38.1,1.37,0.44,0.07,1.57,0.27,0.14,0.75,66.7,10.9,1.67,0.58,0.0,1.88,3.86,7.88,33.4,31.3,1.64,0.27,0.34,80.0,40.5,240.8,135.0,0.34,39.9,98.9,0.03,0.0,0.0,0.38,0.65,0.03,0.07,0.0,0.03,2.63,1.74,60.2,33,33,593361466.7034334
33,Ola Aina,350000000,NGA,1,N/A,Torino,Serie A,25,21.0,17.0,1437.0,0.0,0.63,0.25,40.0,0.0,22.1,0.0,0.0,0.0,34.1,72.1,86.6,77.5,45.9,0.0,1.31,0.31,47.3,0.56,5.31,0.56,1.88,0.0,9.44,26.3,1.44,2.19,0.0,0.94,0.81,0.25,1.06,68.0,10.5,1.56,0.19,0.0,2.06,4.06,3.19,15.5,29.4,20.4,1.0,1.94,51.6,33.8,190.8,114.6,1.13,34.6,86.0,0.25,0.0,0.0,1.25,1.94,0.06,1.88,0.0,0.0,1.13,1.44,43.9,34,34,372917283.6966329
34,Rayan Aït Nouri,0,FRA,1,N/A,Wolves,Premier League,20,23.0,20.0,1828.0,0.05,0.64,0.2,30.8,0.08,16.9,0.0,0.0,0.0,37.1,75.2,91.7,78.7,43.7,0.1,0.74,0.44,49.4,0.79,6.65,1.77,2.76,1.43,33.1,5.32,1.63,2.17,0.3,2.66,0.69,0.39,1.38,62.2,19.8,1.67,0.15,0.0,1.87,5.62,3.15,22.7,24.2,19.6,1.97,3.6,54.8,38.5,182.5,113.3,1.58,35.9,88.9,0.2,0.0,0.0,0.99,1.13,0.15,2.76,0.0,0.0,0.99,0.94,51.3,35,35,537886336.8136606
35,Kristoffer Ajer,1600000000,NOR,1,N/A,Brentford,Premier League,24,24.0,23.0,1995.0,0.05,0.32,0.05,14.3,0.14,9.1,0.0,0.0,0.0,28.3,72.1,82.8,79.7,48.4,0.14,0.45,0.05,39.3,0.36,6.22,0.68,0.54,0.0,1.89,26.0,1.49,1.26,0.27,1.13,0.54,0.14,0.9,55.6,9.28,1.62,0.59,0.05,2.21,4.01,5.27,20.8,24.1,8.29,0.5,0.77,64.7,25.3,152.5,92.2,0.5,24.1,89.7,0.23,0.0,0.0,0.81,0.86,0.0,0.54,0.0,0.0,2.84,1.71,62.4,36,36,500745354.1745567
36,Ludovic Ajorque,900000000,REU,3,N/A,Strasbourg,Ligue 1,28,36.0,31.0,2738.0,0.39,1.94,0.79,40.7,0.15,13.1,0.0,0.1,0.1,22.0,73.7,79.7,73.2,67.5,0.26,0.89,0.16,29.9,0.0,9.61,0.56,0.59,0.0,17.1,5.56,1.58,2.47,0.3,0.13,0.76,0.63,0.26,20.0,17.1,0.79,0.16,0.0,0.49,2.01,1.22,3.75,21.9,17.3,0.49,1.02,48.4,21.1,72.2,31.1,1.48,32.2,61.9,0.16,0.03,0.0,1.32,1.22,0.46,0.59,0.0,0.03,5.07,3.95,56.2,37,37,1551297807.5800939
37,Manuel Akanji,3000000000,SUI,1,N/A,Dortmund,Bundesliga,26,26.0,25.0,2261.0,0.04,0.56,0.12,21.4,0.07,10.4,0.04,0.0,0.0,71.8,90.7,92.4,95.9,79.6,0.0,0.12,0.0,79.1,2.31,7.93,2.75,0.08,0.0,15.7,59.3,1.04,0.44,0.0,1.16,0.64,0.2,0.88,61.1,9.8,1.51,0.72,0.0,1.87,3.86,10.2,43.3,47.6,2.83,0.28,0.28,100.0,60.8,355.1,184.1,0.16,66.3,98.8,0.12,0.0,0.0,0.92,1.04,0.04,0.08,0.0,0.04,2.55,1.55,62.1,38,38,2297744452.547265
38,Carlos Akapo,0,EQG,1,N/A,Cádiz,La Liga,29,25.0,21.0,1844.0,0.0,0.49,0.05,10.0,0.0,19.2,0.0,0.0,0.0,30.7,74.2,85.2,80.2,48.6,0.0,0.78,0.44,41.4,0.88,5.76,0.98,1.56,0.0,1.66,28.0,1.22,1.17,0.05,1.66,0.68,0.24,0.59,37.5,14.2,1.71,0.39,0.0,3.22,5.8,4.44,20.0,24.1,12.3,0.59,1.02,57.1,26.3,156.6,87.2,0.59,23.1,87.8,0.2,0.0,0.0,1.27,1.37,0.1,1.56,0.05,0.0,2.1,1.76,54.4,39,39,292436589.06045264
39,Marley Aké,0,FRA,2,FW,Juventus,Serie A,21,4.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,76.5,75.0,71.4,100.0,0.0,1.11,1.11,18.9,0.0,4.44,1.11,1.11,0.0,2.22,15.6,3.33,1.11,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,2.22,2.22,0.0,2.22,15.6,11.1,0.0,1.11,0.0,20.0,118.9,68.9,2.22,20.0,78.3,1.11,0.0,0.0,8.89,2.22,0.0,1.11,0.0,0.0,1.11,0.0,100.0,40,40,82642354.84228809
40,Nathan Aké,3500000000,NED,1,N/A,Manchester City,Premier League,27,14.0,10.0,923.0,0.19,0.49,0.19,40.0,0.4,5.8,0.0,0.0,0.0,75.7,91.2,94.3,92.2,81.6,0.0,0.29,0.0,83.0,1.55,6.89,0.49,0.0,0.0,60.3,15.0,0.68,0.29,0.0,0.58,0.78,0.1,0.39,57.1,6.8,1.17,0.49,0.0,1.75,3.2,6.5,34.1,53.0,11.2,0.0,0.19,0.0,66.0,345.6,216.1,0.1,70.3,96.0,0.0,0.0,0.0,0.78,0.49,0.0,0.0,0.0,0.0,3.98,0.78,83.7,41,41,2740121336.9547095
