,Player Name,Player Age,Value
139,Adrian Danek,28,250000
140,Adrian Fein,24,600000
141,Adrian Gantenbein,21,500000
142,Adrian Gryszkiewicz,23,600000
143,Adrian Ionita,23,300000
144,Adrian Leon Barisic,21,150000000
145,Adrian Liber,22,150000
146,Adrian Lis,30,550000
147,Adrian Lyszczarz,23,300000
148,Adrian Mazilu,17,400000
149,Adrian Pereira,23,700000
150,Adrian Przyborek,16,0
151,Adrian Sandach,18,25000
152,Adrian Scarlatache,36,150000
153,Adrian Sobon,20,25000
154,Adrian Sut,23,120000000
155,Adrian Szczutowski,22,50000
156,Adriano Firmino,23,600000
157,Adriano Onyegbule,16,100000
158,Adriel,25,200000
159,Adriel Ba Loua,26,600000
160,Adrien Hunou,29,280000000
161,Adrien Louveau,23,100000
162,Adrien Rabiot,28,3000000000
163,Adrien Tamèze,29,800000000
164,Adrien Thomasson,29,400000000
165,Adrien Truffert,21,1800000000
166,Adrien Trébel,32,500000
167,Adrion Pajaziti,20,150000
168,Adrià Pedrosa,24,500000000
169,Adrián,36,100000000
170,Adrián Butzke,24,400000
171,Adrián Embarba,30,300000000
172,Adrián Guerrero,25,200000000
173,Adrián Lucero,38,150000
174,Adrián Marín,26,150000000
175,Adrián Riera,26,600000
176,Adrián Szőke,24,275000
177,Advan Kadusic,25,700000
178,Afeez Nosiru,25,0
179,Afonso Freitas,23,100000000
180,Afonso Sousa,22,180000000
181,Afonso Taira,30,600000
182,Afrden Asqer,19,200000
183,Agon Elezi,22,550000
184,Agon Mucolli,24,350000
185,Agon Sadiku,20,600000
186,Aguibou Camara,21,300000000
187,Agustin Anello,20,350000
188,Agustín Marchesín,35,300000000
189,Agustín Rogel,25,300000000
190,Agustín Álvarez,21,850000000
191,Ahmad Ghali,22,200000
192,Ahmad Mendes Moreira,27,500000
193,Ahmed Ahmedov,28,100000
194,Ahmed El Messaoudi,27,675000
195,Ahmed Hassan,30,300000000
196,Ahmed Musa,30,210000000
197,Ahmed Qasem,19,300000
198,Ahmed Touba,25,320000000
199,Ahmet Engin,26,110000000
200,Ahmet Gülay,20,300000
201,Ahmet Kivanc,24,50000
202,Ahmet Oguz,30,120000000
203,Ahmetcan Kaplan,20,500000000
204,Aiden McGeady,37,300000
205,Aiham Ousou,23,180000000
206,Aihen Muñoz,25,600000000
207,Aimar Oroz,21,600000000
208,Aimar Sher,20,100000000
209,Ainsley Maitland-Niles,25,800000000
210,Aitor Cantalapiedra,27,250000000
211,Aitor Fernández,31,300000000
212,Aitor Ruibal,27,500000000
213,Aiyegun Tosin,24,270000000
214,Ajdin Hrustic,26,180000000
215,Ajdin Zeljkovic,25,600000
216,Akhmed Alibekov,24,200000
217,Akim Zedadka,27,250000000
218,Akinkunmi Amoo,20,200000000
219,Akor Adams,23,150000000
220,Akos Nistor,18,25000
221,Al-Musrati,27,1600000000
222,Alaaddin Okumus,27,350000
223,Alagie Saine,20,0
224,Alai Ghasem,20,300000
225,Alaixys Romao,39,100000
226,Alan Czerwinski,30,500000
227,Alan Dias,24,300000
228,Alan Forrest,26,600000
229,Alan Madalinski,17,50000
230,Alan Power,35,400000
231,Alan Ruiz,29,700000
232,Alan Virginius,20,400000000
233,Alasana Manneh,25,600000
234,Alassana Jatta,24,400000
235,Alassane N'Diaye,31,200000
236,Alassane Ndao,26,250000000
237,Alassane Plea,30,1000000000
238,Alban Lafont,24,2000000000
239,Albert Dima,18,25000
240,Albert Grönbaek,21,230000000
241,Albert Hofman,20,150000
242,Albert Posiadała,20,0
243,Albert Sambi Lokonga,23,1500000000
244,Albert Sharipov,30,400000
245,Albert Stahl,24,300000
246,Albert Thorsen,19,100000
247,Albert Vallci,27,100000000
248,Alberth Elis,27,350000000
249,Alberto Brignoli,31,150000000
250,Alberto Grassi,28,200000000
251,Alberto Moreno,30,400000000
252,Albian Ajeti,26,200000000
253,Albian Hajdari,19,400000
254,Albin Ahlstrand,19,100000
255,Albin Berggren,17,0
256,Albin Ekdal,33,800000
257,Albin Lohikangas,24,150000
258,Albin Mörfelt,23,250000
259,Albion Ademi,24,200000
260,Alec Van Hoorenbeeck,24,750000
261,Aleix García,25,1000000000
262,Aleix Vidal,33,180000000
263,Alejandro Alvarado,19,300000
264,Alejandro Balde,19,3000000000
265,Alejandro Catena,28,800000000
266,Alejandro Garnacho,18,2500000000
267,Alejandro Grimaldo,27,2500000000
268,Alejandro Marqués,22,500000
269,Alejandro Pozo,24,300000000
270,Alejandro Pozuelo,31,300000000
271,Aleks Bozhev,17,100000
272,Aleks Chidomere,20,100000
273,Aleks Lawniczak,23,600000
274,Aleksa Beskorvajni,19,50000
275,Aleksa Djurasovic,20,350000
276,Aleksa Jankovic,23,300000
277,Aleksa Koloni,17,100000
278,Aleksa Matic,20,200000
279,Aleksa Milojevic,23,300000
280,Aleksa Pejic,23,800000
281,Aleksa Radonjic,17,0
282,Aleksa Terzić,23,150000000
283,Aleksandar Aleksandrov,29,300000
284,Aleksandar Busnic,25,700000
285,Aleksandar Cirkovic,21,600000
286,Aleksandar Dragovic,32,500000000
287,Aleksandar Dyulgerov,32,200000
288,Aleksandar Filipovic,28,130000000
289,Aleksandar Georgiev,25,200000
290,Aleksandar Jesic,28,350000
291,Aleksandar Jovanovic,30,800000
292,Aleksandar Jukic,22,130000000
293,Aleksandar Katai,32,500000000
294,Aleksandar Kolev,30,300000
295,Aleksandar Lutovac,25,700000
296,Aleksandar Lyubenov,28,300000
297,Aleksandar Mesarovic,24,400000
298,Aleksandar Mitrovic,29,28000000
299,Aleksandar Mitrović,28,2800000000
300,Aleksandar Pejovic,32,400000
301,Aleksandar Pesic,30,280000000
302,Aleksandar Petrovic,18,50000
303,Aleksandar Popovic,23,180000000
304,Aleksandar Stankovic,27,100000
305,Aleksandar Tanasin,31,300000
306,Aleksandar Todorov,21,300000
307,Aleksandar Tsvetkov,32,175000
308,Aleksandar Varjacic,31,150000
309,Aleksandar Vasilev,27,300000
310,Aleksandar Vidovic,21,100000
311,Aleksandar Vucenovic,25,100000
312,Aleksandar Vulic,21,400000
313,Aleksander Andresen,18,100000
314,Aleksander Hammer Kjelsen,17,50000
315,Aleksander Melgalvis,33,200000
316,Aleksander Nilsson,20,300000
317,Aleksander Paluszek,22,700000
318,Aleksander Pawlak,21,500000
319,Aleksandr Chernikov,23,250000000
320,Aleksandr Dolgov,24,600000
321,Aleksandr Dovbnya,36,100000
322,Aleksandr Ektov,27,800000
323,Aleksandr Erokhin,33,100000000
324,Aleksandr Filin,26,800000
325,Aleksandr Golovin,26,2500000000
326,Aleksandr Kokorin,32,800000
327,Aleksandr Kovalenko,19,250000000
328,Aleksandr Kutitskiy,21,100000000
329,Aleksandr Maksimenko,25,200000000
330,Aleksandr Orekhov,20,150000
331,Aleksandr Pavlovets,26,400000
332,Aleksandr Rudenko,24,900000
333,Aleksandr Ryazantsev,36,100000
334,Aleksandr Selikhov,29,280000000
335,Aleksandr Selyava,30,400000
336,Aleksandr Silyanov,22,400000000
337,Aleksandr Sobolev,26,900000000
338,Aleksandr Soldatenkov,26,250000000
339,Aleksandr Troshechkin,26,100000000
340,Aleksandr Vasyutin,28,400000
341,Aleksandr Yushin,28,600000
342,Aleksandr Zuev,26,100000000
343,Aleksey Gorodovoy,29,400000
344,Aleksey Ionov,34,150000000
345,Aleksey Kashtanov,27,900000
346,Aleksey Kenyaykin,24,800000
347,Aleksey Miranchuk,27,1200000000
348,Aleksey Mironov,23,700000
349,Aleksey Sutormin,29,200000000
350,Alen Grgic,28,350000
351,Alen Mustafic,23,450000
352,Ales Cermak,28,700000
353,Ales Mandous,30,200000000
354,Alesio Tudor,16,25000
355,Alessandro Bastoni,24,5500000000
356,Alessandro Berardi,32,50000
357,Alessandro Bianco,20,600000
358,Alessandro Buongiorno,23,800000000
359,Alessandro Ciranni,26,750000
360,Alessandro Florenzi,32,250000000
361,Alessandro Fontanarosa,20,300000
362,Alessandro Kräuchi,24,350000
363,Alessandro Russo,22,500000
364,Alessandro Sorrentino,21,500000
365,Alessandro Tuia,32,700000
366,Alessandro Zanoli,22,500000000
367,Alessio Besio,19,150000000
368,Alessio Castro-Montes,25,420000000
369,Alessio Cragno,28,400000000
370,Alessio Da Cruz,26,120000000
371,Alessio Romagnoli,28,1800000000
372,Alessio Zerbin,24,400000000
373,Alex Bangura,23,900000
374,Alex Cochrane,22,750000
375,Alex Cordaz,40,300000
376,Alex Fernandes,20,200000
377,Alex Ferrari,28,150000000
378,Alex Gogic,29,400000
379,Alex Greive,23,350000
380,Alex Iacovitti,25,450000
381,Alex Iwobi,26,2500000000
382,Alex Kral,24,550000000
383,Alex Lowry,19,250000
384,Alex McCarthy,33,200000000
385,Alex Meret,26,1800000000
386,Alex Mighten,21,600000
387,Alex Mitchell,21,325000
388,Alex Moucketou-Moussounda,22,300000
389,Alex Méndez,22,800000
390,Alex Oxlade-Chamberlain,29,1000000000
391,Alex Petkov,23,600000
392,Alex Samuel,27,200000
393,Alex Sandro,32,450000000
394,Alex Scott,20,20000000
395,Alex Smithies,33,600000
396,Alex Sobczyk,25,400000
397,Alex Telles,30,1200000000
398,Alex Timossi Andersson,22,750000
399,Alex Vallejo,31,300000
400,Alex Vigo,23,220000000
401,Alexandar Borkovic,23,100000000
402,Alexander Abrahamsson,23,200000
403,Alexander Ammitzböll,24,200000
404,Alexander Bah,25,800000000
405,Alexander Bernhardsson,24,100000000
406,Alexander Busch,19,150000
407,Alexander Callens,30,200000000
408,Alexander Djiku,28,800000000
409,Alexander Fesshaie,19,50000
410,Alexander Fransson,29,600000
411,Alexander Fuchs,26,100000
412,Alexander Gorgon,34,100000
413,Alexander Hack,29,250000000
414,Alexander Hedman,17,0
415,Alexander Hedén Lindskog,19,0
416,Alexander Isak,23,5000000000
417,Alexander Jensen,21,300000
418,Alexander Jeremejeff,29,200000000
419,Alexander Johansson,27,600000
420,Alexander Juel Andersen,32,250000
421,Alexander Kacaniklic,31,250000
422,Alexander Lind,20,250000
423,Alexander Ludwig,29,300000
424,Alexander Lundin,30,50000
425,Alexander Matija Spoljaric,27,50000
426,Alexander Merkel,31,100000000
427,Alexander Meyer,32,100000000
428,Alexander Milosevic,31,100000000
429,Alexander Munksgaard,25,300000
430,Alexander Nybo,28,200000
431,Alexander Nübel,26,1000000000
432,Alexander Prass,21,500000000
433,Alexander Ranacher,24,250000
434,Alexander Ruud Tveter,32,300000
435,Alexander Schlager,27,100000000
436,Alexander Schmidt,25,400000
437,Alexander Schwolow,30,900000
438,Alexander Stölas,34,100000
439,Alexander Söderlund,35,150000
440,Alexander Sörloth,27,1200000000
441,Alexander Walke,39,100000
442,Alexandr Belousov,24,200000
443,Alexandre Guedes,29,350000
444,Alexandre Lacazette,31,1200000000
445,Alexandre Letellier,32,400000
446,Alexandre Olliero,27,700000
447,Alexandre Pierre,22,100000
448,Alexandro Bernabéi,22,300000000
449,Alexandro Calut,19,350000
450,Alexandros Kaiafas,19,0
451,Alexandros Kartalis,28,300000
452,Alexandros Katranis,24,500000
453,Alexandros Kyriakidis,19,0
454,Alexandros Lolis,20,250000
455,Alexandros Malis,26,250000
456,Alexandros Michail,23,350000
457,Alexandros Paschalakis,33,100000000
458,Alexandros Safarikas,23,100000
459,Alexandros Voilis,22,450000
460,Alexandru Albu,29,100000000
461,Alexandru Benga,33,250000
462,Alexandru Blidar,20,25000
463,Alexandru Bota,15,0
464,Alexandru Buzbuchi,29,150000
465,Alexandru Buziuc,29,300000
466,Alexandru Chilili,20,25000
467,Alexandru Chipciu,33,550000
468,Alexandru Cretu,30,850000
469,Alexandru Crivac,20,25000
470,Alexandru Dobre,24,120000000
471,Alexandru Epureanu,36,100000
472,Alexandru Greab,30,500000
473,Alexandru Ionita II,28,850000
474,Alexandru Isfan,23,800000
475,Alexandru Jipa,20,100000
476,Alexandru Mateiu,33,500000
477,Alexandru Maxim,32,320000000
478,Alexandru Melniciuc,18,25000
479,Alexandru Mituletu,19,25000
480,Alexandru Munteanu,21,25000
481,Alexandru Oroian,22,400000
482,Alexandru Pantea,19,650000
483,Alexandru Petre,18,50000
484,Alexandru Stan,17,25000
485,Alexandru Stoian,15,0
486,Alexandru Tiganasu,32,500000
487,Alexandru Tudorie,27,850000
488,Alexandru Utiu,19,25000
489,Alexandru Vlad,33,250000
490,Alexandru Voda,24,25000
491,Alexei Coselev,29,400000
492,Alexis Antunes,22,900000
493,Alexis Beka Beka,22,600000000
494,Alexis Blin,26,200000000
495,Alexis Claude-Maurice,24,500000000
496,Alexis Duarte,23,400000000
497,Alexis Flips,23,500000000
498,Alexis Mac Allister,24,4200000000
499,Alexis Pérez,29,150000000
500,Alexis Saelemaekers,23,1500000000
501,Alexis Sánchez,34,450000000
502,Alexis Tibidi,19,250000000
503,Alexis Trouillet,22,120000000
504,Alexsandro,23,250000000
505,Alf Lukas Grönneberg,18,25000
506,Alfie Whiteman,24,500000
507,Alfons Amade,23,650000
508,Alfons Sampsted,25,150000000
509,Alfonso Espino,31,400000000
510,Alfonso Pedraza,27,1500000000
511,Alfred Duncan,30,500000000
512,Alfred Finnbogason,34,400000
513,Alfredo Mejía,33,300000
514,Alfredo Morelos,26,700000000
515,Alhaji Kamara,28,500000
516,Alhassan Yusuf,22,600000000
517,Ali Alipour,27,120000000
518,Ali Bdeir,19,25000
519,Ali Demirel,20,250000
520,Ali Gholizadeh,27,200000000
521,Ali Kalla,24,100000
522,Ali Karimi,29,650000
523,Ali Sasal Vural,32,500000
524,Ali Sowe,28,270000000
525,Ali Yasar,28,500000
526,Ali Youssef,22,400000
527,Alidu Seidu,22,500000000
528,Alieu Fadera,21,200000000
529,Alin Chintes,17,0
530,Alin Dobrosavlevici,28,400000
531,Alin Seroni,36,200000
532,Alin Techeres,16,0
533,Alioune Ndour,25,600000
534,Alireza Jahanbakhsh,29,300000000
535,Alisson,30,4500000000
536,Alisson Safira,28,500000
537,Alistair Johnston,24,600000000
538,Alkiviadis Christofi,31,150000
539,Allan Arigoni,24,800000
540,Allan McGregor,41,400000
541,Allan Saint-Maximin,26,3500000000
542,Allan Sousa,26,150000000
543,Allano,27,400000
544,Ally Samatta,30,250000000
545,Almamy Touré,26,250000000
546,Almin Kahrimanovic,19,50000
547,Almir Aganspahic,26,350000
548,Alois Hycka,32,200000
549,Alou Kuol,21,300000
550,Alp Arda,27,75000
551,Alper Demirol,20,400000
552,Alper Uludag,32,425000
553,Alperen Uysal,29,550000
554,Alpha Conteh,22,175000
555,Alphonce Msanga,19,50000
556,Alphonse Areola,30,800000000
557,Alphonso Davies,22,7000000000
558,Altay Bayindir,25,1300000000
559,Aly Abeid,25,250000
560,Amadej Marosa,29,200000
561,Amadeus Sögaard,25,300000
562,Amadou Camara,22,50000
563,Amadou Ciss,24,600000
564,Amadou Dante,22,250000000
565,Amadou Diallo,28,150000
566,Amadou Diawara,25,250000000
567,Amadou Haidara,25,1700000000
568,Amadou Keita,21,50000
569,Amadou Onana,21,4200000000
570,Amahl Pellegrino,32,100000000
571,Amane Romeo,20,700000
572,Amankwah Forson,20,120000000
573,Amar Dedic,20,1000000000
574,Amar Gerxhaliu,20,250000
575,Amar Rahmanovic,28,250000000
576,Amath Ndiaye,26,200000000
577,Amer Hiros,26,500000
578,Amidou Diop,31,300000
579,Amin Nouri,33,100000
580,Amin Sarr,22,900000000
581,Amin Younes,29,150000000
582,Amine,30,350000
583,Amine Adli,22,1500000000
584,Amine Benchaib,24,550000
585,Amine Gouiri,23,3500000000
586,Amine Harit,25,1400000000
587,Amine Khammas,24,800000
588,Amine Salama,22,180000000
589,Amir Abdijanovic,22,300000
590,Amir Abrashi,33,300000
591,Amir Aduev,23,150000
592,Amir Al-Ammari,25,700000
593,Amir Batyrev,21,200000
594,Amir Hadziahmetovic,26,650000000
595,Amir Rrahmani,29,2500000000
596,Amir Saipi,22,100000000
597,Amirhossein Hosseinzadeh,22,800000
598,Ammar Helac,24,200000
599,Amos Pieper,25,600000000
600,Amos Youga,30,900000
601,Amr Warda,29,100000000
602,Amund Wichne,25,150000
603,Anas Tahiri,27,900000
604,Anass Achahbar,29,350000
605,Anass Salah-Eddine,21,500000
606,Anastasios Bakasetas,29,1100000000
607,Anastasios Chatzigiovanis,25,150000000
608,Anastasios Donis,26,900000
609,Anastasios Douvikas,23,600000000
610,Anastasios Karamanos,32,200000
611,Anastasios Kissas,35,150000
612,Anastasios Pishias,16,0
613,Anastasios Tsokanis,31,450000
614,Anatoli Gospodinov,29,250000
615,Anatoliy Trubin,21,1800000000
616,Ander Barrenetxea,21,600000000
617,Ander Capa,31,200000000
618,Ander Guevara,25,500000000
619,Ander Herrera,33,300000000
620,Ander Iru,24,100000
621,Anders Baertelsen,22,450000
622,Anders Christiansen,32,200000000
623,Anders Dahl,20,150000
624,Anders Dreyer,24,900000000
625,Anders Hagelskjaer,26,500000
626,Anders Hartveit Ryste,17,50000
627,Anders Jacobsen,33,350000
628,Anders Jenssen,29,200000
629,Anders Klynge,22,700000
630,Anders Kristiansen,33,300000
631,Anders Noshe,17,100000
632,Anders Rönne Börset,17,150000
633,Anders Trondsen,28,500000
634,Anderson,25,600000
635,Anderson Carvalho,32,300000
636,Anderson Correia,31,600000
637,Anderson Jesus,28,800000
638,Anderson Oliveira,24,500000
639,Anderson Pico,34,50000
640,Anderson Silva,25,150000000
641,Andi Zeqiri,23,270000000
642,Andoni Gorosabel,26,1000000000
643,Andoni Zubiaurre,26,300000
644,Andraz Sporar,29,500000000
645,Andre Gray,31,200000000
646,Andrea Barberis,29,900000
647,Andrea Belotti,29,900000000
648,Andrea Bertolacci,32,160000000
649,Andrea Cambiaso,23,650000000
650,Andrea Colpani,23,250000000
651,Andrea Compagno,26,200000000
652,Andrea Consigli,36,150000000
653,Andrea Conti,29,600000
654,Andrea Petagna,27,1000000000
655,Andrea Pinamonti,23,1700000000
656,Andreas Albertsen,18,50000
657,Andreas Avraam,35,150000
658,Andreas Bjelland,34,200000
659,Andreas Bouchalakis,30,400000000
660,Andreas Bruus,24,200000000
661,Andreas Christensen,27,3000000000
662,Andreas Christodoulou,26,400000
663,Andreas Christofi,24,50000
664,Andreas Chrysostomou,22,400000
665,Andreas Cornelius,30,600000000
666,Andreas Dimitriou,19,50000
667,Andreas Dithmer,17,200000
668,Andreas Frangos,26,350000
669,Andreas Gianniotis,30,600000
670,Andreas Gruber,27,120000000
671,Andreas Gülstorff,20,150000
672,Andreas Hanche-Olsen,26,350000000
673,Andreas Hansen,27,500000
674,Andreas Heredia-Randen,17,50000
675,Andreas Ioannou,18,0
676,Andreas Johansson,41,150000
677,Andreas Jungdal,21,400000
678,Andreas Kapsis,17,0
679,Andreas Karamanolis,21,400000
680,Andreas Karo,26,700000
681,Andreas Keravnos,23,200000
682,Andreas Kuen,28,600000
683,Andreas Leitner,29,600000
684,Andreas Makris,27,300000
685,Andreas Mihaiu,24,200000
686,Andreas Murbeck,24,200000
687,Andreas Ndoj,20,150000000
688,Andreas Neofytou,24,150000
689,Andreas Oggesen,29,250000
690,Andreas Panagiotou Filiotis,27,450000
691,Andreas Paraskevas,24,150000
692,Andreas Pereira,27,1600000000
693,Andreas Poulsen,23,450000
694,Andreas Samaris,33,400000
695,Andreas Savva,18,150000
696,Andreas Schjelderup,18,900000000
697,Andreas Skov Olsen,23,1700000000
698,Andreas Skovgaard,26,400000
699,Andreas Ulmer,37,600000
700,Andreas Vindheim,27,700000
701,Andreas Waterfield Skjold,20,50000
702,Andreaw Gravillon,25,500000000
703,Andrei Artean,29,900000
704,Andrei Borza,17,400000
705,Andrei Burca,29,400000000
706,Andrei Burlacu,26,50000
707,Andrei Caprescu,18,10000
708,Andrei Chindris,24,500000
709,Andrei Ciobanu,25,850000
710,Andrei Cordea,23,250000000
711,Andrei Dragu,23,450000
712,Andrei Dumiter,24,250000
713,Andrei Girotto,31,400000000
714,Andrei Gorcea,21,400000
715,Andrei Ivan,26,250000000
716,Andrei Jercalau,18,25000
717,Andrei Miron,28,700000
718,Andrei Panait,33,200000
719,Andrei Patache,35,100000
720,Andrei Peteleu,30,350000
721,Andrei Pitian,27,350000
722,Andrei Radu,26,200000
723,Andrei Serban,22,300000
724,Andrei Stoica,17,0
725,Andrei Tircoveanu,25,250000
726,Andrei Vlad,24,600000
727,Andreias Calcan,29,300000
728,Andrej Djokanovic,22,140000000
729,Andrej Kramaric,31,900000000
730,Andrej Todoroski,23,250000
731,Andreja Stojanovic,24,350000
732,Andrejs Ciganiks,26,550000
733,Andres Brinzea,17,25000
734,Andres Dumitrescu,22,650000
735,Andrew,21,200000000
736,Andrew Hjulsager,28,200000000
737,Andrew Robertson,29,4800000000
738,Andrew Shinnie,33,375000
739,Andrey Egorychev,30,800000
740,Andrey Evdokimov,24,300000
741,Andrey Langovich,19,100000000
742,Andrey Lunev,31,150000000
743,Andrey Malykh,34,300000
744,Andrey Mendel,27,500000
745,Andrey Mostovoy,25,350000000
746,Andrey Savin,23,250000
747,Andrey Semenov,34,800000
748,Andrey Yordanov,21,100000
749,Andrezinho,26,200000
750,Andri Fannar Baldursson,21,500000
751,Andri Gudjohnsen,21,750000
752,Andrian Kraev,24,100000000
753,Andries Noppert,29,500000000
754,Andrija Katic,21,300000
755,Andrija Lazarevic,19,50000
756,Andrija Majdevac,25,800000
757,Andrija Milic,21,150000
758,Andrija Pavlovic,29,700000
759,Andrija Radovanovic,22,300000
760,Andrija Radulovic,20,100000000
761,Andrija Vukcevic,26,700000
762,Andrija Zivkovic,26,600000000
763,Andris Herrera,26,350000
764,Andriy Batsula,31,600000
765,Andriy Bliznichenko,28,250000
766,Andriy Bogdanov,33,300000
767,Andriy Boryachuk,26,400000
768,Andriy Buleza,19,200000
769,Andriy Busko,25,300000
770,Andriy Chyruk,22,100000
771,Andriy Kitela,18,100000
772,Andriy Klishchuk,30,100000
773,Andriy Korobenko,25,200000
774,Andriy Kravchuk,24,300000
775,Andriy Kukharuk,27,300000
776,Andriy Kulakov,23,400000
777,Andriy Lunin,24,500000000
778,Andriy Ponedelnik,26,200000
779,Andriy Pyatov,38,500000
780,Andriy Ralyuchenko,27,300000
781,Andriy Remenyuk,24,600000
782,Andriy Shtogrin,24,100000
783,Andriy Tkachuk,35,75000
784,Andriy Totovytskyi,30,800000
785,Andriy Tsurikov,30,600000
786,Andronikos Kakoullis,21,700000
787,Andros Townsend,31,250000000
788,Andrzej Niewulis,33,150000
789,András Schäfer,24,500000000
790,André Almeida,22,1500000000
791,André Alsanati,23,325000
792,André Amaro,20,500000000
793,André André,33,800000
794,André Ayew,33,220000000
795,André Boman,21,400000
796,André Calisir,32,200000
797,André Duarte,25,750000
798,André Edgar,23,100000
799,André Felipe,32,400000
800,André Franco,25,350000000
801,André Gomes,29,1400000000
802,André Hahn,32,200000000
803,André Hansen,33,500000
804,André Horta,26,500000000
805,André Mesquita,25,100000
806,André Moreira,27,120000000
807,André Onana,27,2000000000
808,André Paulo,26,100000
809,André Pereira,27,300000
810,André Picornell,19,100000
811,André Ramalho,31,350000000
812,André Ricardo,22,200000
